ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
433,,REFERENCE,"benabena, see menamena."
434,,plaited head-strap (worn by young boys),"bene!, ~, n. (1) plaited head-strap (worn by young boys)."
435,penalty.,penalty,"bene?, see mene, beneroti [beeneroti] / benoti [beenoti], ~, n. (vur), penalty. [E.]"
436,,REFERENCE,"benikũ, see mbenikũ."
439,,bank,"bengi, ~, n. (1) bank. [E.]"
440,bench terrace (to combat soil-erosion).,bench terrace (to combat soil-erosion),"benji, ~, n. (1), bench terrace (to combat soil-erosion). [E. BENCH]"
441,"1. break, snap (dry sticks by treading on them when pushing one’s way through bush, &c.)","break, snap (dry sticks by treading on them when pushing one’s way through bush, &c","bera, v.t, (1), 1. break, snap (dry sticks by treading on them when pushing one’s way through bush, &c.); ~ gĩthaka, force one’s way through a thicket; cf. una, cuca, thutha, thetha. 2. smash earthenware into pieces; cf. bebera. berabera, dim. beranga, diff, beranira, app. rec. beraniria, caus. app. rec, break, snap, together. berithia, d. caus. bereka, st. pot. berera, app."
442,(N.K.} (used as adv.) long ago,(} (used as) long ago,"bera [beera], n. (111), (N.K.} (used as adv.) long ago; cf. tene."
443,,REFERENCE,"kaberange, see under mbere,"
444,,the calabash has broken in two with a crack,"bere, ideo. descr. of dryness (the sound made by a dry leaf or a piece of paper, &c., when trodden on); kĩnya gĩkuĩte ~, the calabash has broken in two with a crack."
445,,REFERENCE,"kabere, kaberabere, see under mbere."
446,"descr. of soft rustling (as of paper, clothing, &c.)","of soft rustling (as of paper, clothing, &c","berebere, ideo. (1), descr. of soft rustling (as of paper, clothing, &c.); ndigithia ~, stop your chattering (at me); cf. barabara,"
447,,REFERENCE,"(ki-) (ka-) (rũ-) berecũ, see under (ki-) (ka-) (rũ-) baracũ."
448,,REFERENCE,"berecũka, see baracaũka."
449,"descr. of splintering, splitting, smashing (esp. of brittle things)","of splintering, splitting, smashing (esp. of brittle things)","beregece, ideo. (1), descr. of splintering, splitting, smashing (esp. of brittle things); kĩnya kĩagamba o ~, the calabash shattered into small pieces."
452,"pipe, pipeline, tube.","pipe, pipeline, tube","mũberethi, mi-, n. (1), pipe, pipeline, tube. [Sw. MFEREJI]"
453,1. leaf-shaped spear,leaf-shaped spear,"kĩberethi, i-; mberethi, ~; n. (1), 1. leaf-shaped spear; cf. itimũ. 2. piece of wood shaped like a spear-head, tied to a string by children and rotated to produce a buzzing sound; cf. kĩbĩrĩriki. kaberethi, tũ-, n. dim. of above."
455,"1. in vain, for nought","in vain, for nought","berũ, adv. (U), 1. in vain, for nought; cf. becũ. 2. (used as a warning) keep quiet!, don’t answer!; cf. kunũ."
456,,REFERENCE,"kabeti, see mbeti."
457,"Veterinary Department, the Veterinary Laboratory.","Veterinary Department, the Veterinary Laboratory","betinarĩ [beetinarĩ], n. cl. o (XVII), Veterinary Department, the Veterinary Laboratory. [E.] i"
458,petrol.,petrol,"betũrũ [beetũrũ] / mbetũrũ [mbeetũrũ] / n. cl. 9 only (vir), petrol. [E.]"
460,,REFERENCE,"kĩbeũ, see mbeũ,"
461,descr. of,travelling far without stopping,"bi-i-i, ideo. (U), descr. of: 1. travelling far without stopping. 2. prolonged hooting of a motor-car ; gambia king'ora ~, hoot. bi-bi-bi-bi / bibi-bibi, ideo. descr, of swift movement, pitterpatter."
462,beer (of European type of brew).,beer (of European type of brew),"bia [biya] / mbia! [mbiya], n. (1x), beer (of European type of brew). [E.]"
463,1. silver coin worth (nominally) two shillings,money,"rũbia [rũbiya], mbia? [mbiya], n. (vir), 1. silver coin worth (nominally) two shillings; ~ ra karũri, florin (minted in 1920, never put into circulation). 2. (cl. 10) money; cf. mbeca, [Ind. RUPEE]"
467,,REFERENCE,"kabibi, see mbimbi."
470,"fade out, disappear, be extinguished","diminish, grow dimmer, dwindle away, die out","bica, v.i. (11), fade out, disappear, be extinguished; (of tobacco) be mild in flavour; cf. mica, rica, hora. bicabica, dim. grow dim, die out; dwindle; nĩkũra ~, it is getting dark. bicabicia, caus. dim. cf. mithamithia. bicabicania, caus. rec. dim. minimize, gloss over, conceal, hush up. bicanga, diff. bicanĩra, assoc. bicaniria, caus. assoc. dim together, extinguish at the same time. bicia, caus. make grow dim or disappear; diminish, extinguish sth. bicithia, d. caus.; ~ belittle sb., lower sb.’s esteem. bicika, st. pot. bicira, app. bicĩrĩra, inten. 1. diminish, grow dimmer, dwindle away, die out. 2. (of sb. in bed) drop off to sleep. bicũra, conv. make visible, uncover, expose, open. bicũria, caus. conv. expose sth. covered; open (eyes); cf, mbico. bicũka, neut. become exposed, open; maitho makĩ~, the eyes (e.g. of a newly born lamb) opened."
472,,REFERENCE,"mũbici?, see mbici',"
473,descr. of,light fading or flickering,"bicibici, ideo. (1), descr. of: 1. light fading or flickering. 2. rapid blinking of eyes."
474,,REFERENCE,"kĩbico, see mbico."
475,"n. (v11), (N.K.) small boys’ set, grade","() small boys’ set, grade","kabicũ, (tũ-), n. (v11), (N.K.) small boys’ set, grade; cf. Mũguthi, gĩthebe, ndicũ."
476,,REFERENCE,"bigicena, see birigicena."
479,descr.,"of the flight of an arrow, far and fast travelling","biii, ideo. (U), descr. of the flight of an arrow, far and fast travelling."
480,,REFERENCE,"kabiira, see under mbiira2?,"
481,"P.C., Provincial Commissioner.",P,"biirũ, see mbiirũ?, Biithii, ~, n. cl. 1/2 (11), P.C., Provincial Commissioner. [E.]"
482,,motor-cycle,"bikibiki, ~, n. (1) motor-cycle; cf. mũtututu, mũtoretore, mũtithitithi. [cf. Sw. PIKIPIKI]"
483,,REFERENCE,"bikiri, see thikiri."
487,,REFERENCE,"binyũria, see minyũria."
488,Ii. rubber,Ii,"mũbira [mũbiira], mi-, n. (viii), Ii. rubber; ball, football; rubber teat; ~, play football; ~ wa maĩ, household water filter. 2. bicycletube, bicycle; cf, maithikiri. [Sw. MPIRA]"
489,descr. of absoluteness,of absoluteness,"biri, ideo. (1), descr. of absoluteness; ira ~, be intensely black, cf. ciri; thira ~, finish entirely; cf. buru."
492,ball-bearings (esp.,ball-bearings (esp. of bicycles),"biribiri?, ~, n. (x11), ball-bearings (esp. of bicycles)."
493,,"make an inspection of , search for stolen property, investigate, institute an inquiry or examination","birigicena [birigiceena] / bigicena [bigiceena], v.t. & i. (1) make an inspection of sth., search for stolen property, investigate, institute an inquiry or examination; feel over, search sb. for weapon; cf. caria, etha, birigicenanga, diff. birigicenana, rec. birigicenithia, d. caus. birigiceneka, st. pot. birigicenera, app. [E. INSPECT; cf. Sw. PEKSHENI!]"
494,Portugal.,Portugal,"Birigii, n. with loc. concords (xiv), Portugal. Mũbirigii, a-, n. a Portuguese. kĩbirigii, the Portuguese language."
495,,please! [E,"biriithi, interj. (U), please! [E.]"
496,whistle,of above,"biringi, ~, n, (1), whistle; mohuhi ~, (of games) referee; cf. kĩnbĩ, kĩng'oora, mbu. kabiringi, tũ-, n. dim. of above. [Sw. FILIMBI]"
497,braces.,braces,"mabiringi, n. cl. 6 only (1), braces."
500,1. tree (Vangueria. acutilobiajlinearisepalla),ram of black or darkbrown colour,"mũbirũ, mĩ-, n. (1v), 1. tree (Vangueria. acutilobiajlinearisepalla); ~ -ng ombe, Vangueria campanulata. 2. young ewe of dark colour. mbirũ, ~, n. I. fruit of Vangueria, dark red in colour (made into a top by sticking a long thorn through it). 2. ewe of dark colour. kibir, f-, n. (usu. with cl. 9/10 concords) ram of black or darkbrown colour."
502,small tree (Rytignia schumannii and friesiorum).,small tree (Rytignia schumannii and friesiorum),"mũbirũbirũ, mi-, n. (v), small tree (Rytignia schumannii and friesiorum)."
503,small tree (Canthium keniense).,small tree (Canthium keniense),"mũbirũ-wa-aathi, aathi, n. (VI-U-i11), small tree (Canthium keniense)."
505,,REFERENCE,"biti, see buti."
506,"pursue a feud, make a case against sb. from spite, jealousy, ill will","pursue a feud, make a case against sb","bitina [biitina], v.t. (11), pursue a feud, make a case against sb. from spite, jealousy, ill will; provoke a quarrel; cf. ũgita. bitinanga, diff. bitinana, rec, quarrel out of ill will towards each other., bitinanĩra, app. rec. quarrel because of, at, for. bitinira, app. pick a quarrel with sb. (unnecessarily) because of, for. [SWw. FITINA]"
508,"straight stick, rod, cut for use as stake or in rough wickerwork.","straight stick, rod, cut for use as stake or in rough wickerwork","rũbito, mbito, n. (1), straight stick, rod, cut for use as stake or in rough wickerwork. [Sw. FITO]"
509,curry powder.,curry powder. [Sw,"bitharĩ [bithaarĩ] / mbitharĩ [mbithaari], ~, n. (111), curry powder. [Sw. BIZARI]"
510,,REFERENCE,"kĩbithe, see mbithe."
512,1. completely,completely,"bi / bibĩ / bĩbĩbĩbi, ideo. (1/11), 1. completely; iyũria ~, fill up to the brim; cf. mũng'ang’a, kebebe, hibĩbĩ. 2. (of a spate of words) volubly ; tiga mbĩria kanua ~, do not talk so much."
517,see ihindu.,see ihindu,"ibindu? (N.x.), see ihindu."
518,"cow or heifer, varying from dirty white to pale brown`in colour. kĩbĩndu, i-, n. usually with cl. 9/10 concords, ox, bull, horse of above colouring","ox, bull, horse of above colouring","bindu, ~, n. (11), cow or heifer, varying from dirty white to pale brown`in colour. kĩbĩndu, i-, n. usually with cl. 9/10 concords, ox, bull, horse of above colouring; cf. kĩbogo."
520,"handcuff, fetter.","handcuff, fetter. [Sw","bĩngũ / mbĩngũ, ~, n. (11), handcuff, fetter. [Sw. PINGU]"
522,"stir anyhow. biranira, app. rec. bĩranĩria, caus. app. rec. mix, twirl, together. birithia, d. caus. bĩrĩka, st. pot. bĩrĩra, app. twirl, roll, or mix for or at. birirĩka, st. pot. app. r. (of propeller, &c.) rotate, revolve, spin. 2. flap and wave about noisily, fuss, become rowdy, give vent to a torrent of words (as in a loud altercation), brawl. birĩrĩkia, caus. st. pot. app. I. rotate, spin (a top)",,"cf. hĩra. ĩbĩra, refl, 1. oscillate, swing to and fro with a twisting motion like fronds of the Phoenix palm, bestir oneself, get a move on. 2. run away for dear life, bolt. birabira, dim. roll between the hands (as clay in pottery). biranga, diff. bĩrania, caus, rec. mix up together (e.g. different liquids), stir anyhow. biranira, app. rec. bĩranĩria, caus. app. rec. mix, twirl, together. birithia, d. caus. bĩrĩka, st. pot. bĩrĩra, app. twirl, roll, or mix for or at. birirĩka, st. pot. app. r. (of propeller, &c.) rotate, revolve, spin. 2. flap and wave about noisily, fuss, become rowdy, give vent to a torrent of words (as in a loud altercation), brawl. birĩrĩkia, caus. st. pot. app. I. rotate, spin (a top); 2. cause to become rowdy, make a fuss. bĩrĩrĩkanira, app. rec. st. pot. app. have a loud altercation between each other; become or be rowdy together."
523,"stick fitted at one end with bones from a section of the vertebral column or with little paddles of wood (rotated between the palms of the hand, to mix gruel, also to whip meat soup to which fat, herb extracts, honey, &c., have been added","stick fitted at one end with bones from a section of the vertebral column or with little paddles of wood (rotated between the palms of the hand, to mix gruel, also to whip meat soup to which fat, herb extracts, honey, &c","kĩbiri, i-, n. (1), stick fitted at one end with bones from a section of the vertebral column or with little paddles of wood (rotated between the palms of the hand, to mix gruel, also to whip meat soup to which fat, herb extracts, honey, &c., have been added; see thathi)."
524,descr.,"of hubbub, babel of talk","biribiri, ideo. (1), descr. of hubbub, babel of talk."
525,,REFERENCE,"kĩbĩrĩra, see mbirira,"
526,,REFERENCE,"kĩbirĩriki, see mbĩrĩrĩki."
527,"descr. of twirling, spinning, oscillating from side to side","of twirling, spinning, oscillating from side to side","birĩrĩrĩ, ideo. (1), descr. of twirling, spinning, oscillating from side to side; see bĩrĩrĩka. [bĩra]"
530,"expr. of rapid rush, rain pouring down, blood gushing from slaughtered throat, &c.","of rapid rush, rain pouring down, blood gushing from slaughtered throat, &c","bobo-bobo | bo-bo-bo-bo | bobobobo, ideo. (1), expr. of rapid rush, rain pouring down, blood gushing from slaughtered throat, &c.; kũra ~, grow at a great rate."
532,I.,a wanderer. 2,"kĩboboi / kĩbũbũi [kĩbũbũyi], i-, n. (1), I. a wanderer. 2. a large type of hyena that lives in holes."
533,"1. make sth. gush out (as under pressure), eject","make gush out (as under pressure), eject","bobora, v.t. (11), 1. make sth. gush out (as under pressure), eject; cf. bora. 2. make slide, topple down; cf. momora. boboranga, diff. boboranira, rec, app. boborithia, d. caus. boboreka, st. pot. boborera, app. make gush out at, for. boboka, v.i. gush out, be forcibly ejected (from a pipe, tap, &c.). bobokera, app. gush out on to, at."
535,,"pour out, pour down with violence","bobotoka, v.i. (11) pour out, pour down with violence; cf. bororoka. bobotokanga, diff. bobotokanĩra, assoc. bobotokia, caus. bobotokera, app."
536,"I. agitate, rock","agitate, rock","boca, v.t. & i. (1), I. agitate, rock; churn, shake (milk in calabash); shake up (fluid, pebbles, &c., in container); ~ ngorono, churn butter; cf. thũca, thuka. 2. (of water in a half-full container) get shaken; splash about; cf. inaina. 3. (of steam-engine) labour on a steep incline. bocaboca, dim, splash about (in a vessel); shake about. bocabocia, caus. dim. bocanga, diff. bocanira, assoc. bocithbia, d. caus. boceka, st. pot. bocera, app."
537,,REFERENCE,"bocanira, see under bocera,"
539,,crowd of people,"kĩboci, i-, n. (1) crowd of people; ũhoro ti wa ~, this matter is not for the public ear."
541,"descr. of entering ot piercing sth. soft, mushy, or fluid","of entering ot piercing soft, mushy, or fluid","boco, ideo. (1/11), descr. of entering ot piercing sth. soft, mushy, or fluid; uga o ~, go splosh! bocoboco, ideo. descr, of liquid agitated in a vessel or splashing freely as water in a river against stones; splosh! splosh!"
542,"rations, daily issue of food.","rations, daily issue of food","ũboco [ũbooco], n. (1), rations, daily issue of food. [Sw."
545,"(of a hillside, coastline, hat, &c.) be indented, recessed","(of a hillside, coastline, hat, &c","bocoka, v.i. (11), (of a hillside, coastline, hat, &c.) be indented, recessed; (of a humpy animal’s stomach) be sunken, hollowed; cf. gocoka. bocabocoka, dim. Þbocokanga, diff. bocokanira, assoc. bocokithia, d. caus. bocokera, app. bocora, v.t. dent in, hollow, depress."
547,"leaves, of cabbage or cauliflower in particular, used as spinach.","leaves, of cabbage or cauliflower in particular, used as spinach","(i-) maboga, n. (111), leaves, of cabbage or cauliflower in particular, used as spinach."
548,,REFERENCE,"kĩbogggo, see mbogo."
549,,REFERENCE,"kibogoro, see under mbogoro."
550,,REFERENCE,"kĩbogoto, see kĩboboto."
551,"talk deliriously, stupidly, or without meaning (in one’s sleep).","talk deliriously, stupidly, or without meaning (in one’s sleep)","bogotha, v.i. (11), talk deliriously, stupidly, or without meaning (in one’s sleep). bogabogotha, dim. bogothanga, diff. bogothanira, assoc. bogothithia, d. caus. bogothera, app."
552,ma-,place on one side or other of approach to homestead where a fire was lit in the evening,"boi [booi] / boi-ini, ma-, cl. 14/6; iboi(-inĩ), ma- ; n. (x), place on one side or other of approach to homestead where a fire was lit in the evening; the village talking-place; see gĩtayaya; cf. kĩhingo. |"
553,see baiya.,see baiya,"boiya (N.x.), see baiya."
554,,REFERENCE,"boiya, see bũiya."
556,"dip a lump of (maize) bread, banana, &c., into stew","dip a lump of (maize) bread, banana, &c","boka, v.t. (1), dip a lump of (maize) bread, banana, &c., into stew; ~ ngima, eat vegetable as a relish with mealie mash; cf. corobia. bokanga, diff. bokania, caus. rec. dip in a hurry, take too much. bokanira, app. rec. bokaniria, caus. app. rec. eat two or more substances, at the same time, together. bokithia, d. caus. bokeka, st. pot. bokera?, app."
557,"load sth. on, in, into","load on, in, into","Þbokera’?, v.t. (1), load sth. on, in, into; load up a vehicle; cf. ikira. bokabokera, dim. bokeranga, diff. bokerana, rec. bokeranĩra, app. rec. bokerithia, d. caus. bokereka, st. pot. bokerera, app."
559,Chanler’s reedbuck.,Chanler’s reedbuck,"bongwe, ~, n. (VIII), Chanler’s reedbuck."
560,descr. of,"sound of a heavy downpour of rain or running water. 2, grain, flour pouring or bursting from a sack","boo, ideo (U), descr. of: 1. sound of a heavy downpour of rain or running water. 2, grain, flour pouring or bursting from a sack. 3. hail, vomiting, milk flowing from a full udder. 4. plentiful yield from a crop, the paying of a high bride-price, a large sum of money; tanga indo ~, waste things extravagantly ; mũgũnda nruumaga irto ~, the garden is absolutely chock-full of food."
561,give out (daily) rations of food.,give out (daily) rations of food,"booca, v.t. (1), give out (daily) rations of food. boocabooca, dim. boocanga, diff. boocithia, d. caus. boocera, app. ĩfboocera, refl. app. (coll.) stuff oneself (with food)."
562,"be dazed, fuddled (by sleep, debauchery, illness, &c.)","/ booreka, v.i. (1), be dazed, fuddled (by sleep, debauchery, illness, &c","boora (N.K.) / booreka, v.i. (1), be dazed, fuddled (by sleep, debauchery, illness, &c.); be weary, listless, quiet, subdued, patient. boorabooreka, dim. boorekanga, diff. boorekia, caus. boorekera, app."
563,"pull down, fetch down (firewood, wild fruit, &c.)","pull down, fetch down (firewood, wild fruit, &c","booria, v.t. (1), pull down, fetch down (firewood, wild fruit, &c.); cf. hooria, cuurũria. boorabooria, dim. boorangia, diff. booranĩria, caus. rec. boorithia, d. caus. booreka, st. pot. booreria, app."
567,,of mongoose which rummages in middens,"kĩbore, i-, n. (1); kĩhũ gia ~, sp. of mongoose which rummages in middens. [bora]"
568,Forest Reserve.,Forest Reserve,"borethiti [boorethiti], ~, n. (xvii), Forest Reserve. [E.]"
570,,REFERENCE,"borithi, see birithi."
571,sp.,of giant reed,"kĩboro!, i-, n. (111), sp. of giant reed. mboro, ~, n. seed of above (used as a bead)."
572,1. sp. of bean,of bean,"kĩboro?, i-; nyakĩboro, ~; n. (111), 1. sp. of bean; cf. mboco. 2. sp. of sweet potato; cf. ngwacĩ. kaboro, tũ-, n. small white haricot bean."
574,descr. of,"fumbling, feeling for 2","boroboro, ideo. (1), descr. of: 1. fumbling, feeling for sth. 2. sound made by the lowest part of a beast’s intestine when squeezed; see boro."
576,,REFERENCE,"iboroni, see ĩboroni."
577,loquat-tree (Eriobotrya japonica).,loquat,"kĩbororo, see kiboboto. [mũboota], mĩ-, n, (11), loquat-tree (Eriobotrya japonica). mbota?, ~, n. loquat."
578,irritate with insinuations or repeated contrary remarks.,irritate with insinuations or repeated contrary remarks,"botia [bootia], v.t. (11), irritate with insinuations or repeated contrary remarks. botania, rec. argue, dispute, contend, wrangle."
579,Post Office.,Post Office,"bothita [boothita], ~, n. (xvr), Post Office. [E.]"
580,spongy.,spongy,"-bou, a. (11), spongy."
581,heap of trash (usu.,heap of trash (usu,"iboya, ma-, n. (1), heap of trash (usu. of maize stalks)."
582,,REFERENCE,"maboyaboya, see mabũya."
583,"descr. of a heavy, dull thud","of a heavy, dull thud","bu, ideo. (u), descr. of a heavy, dull thud; aagamba ~ (thĩ), he fell with a heavy thud."
584,"1. yell, loud cry","yell, loud cry","rũbu, mbu; mbu, ~~; n. (11), 1. yell, loud cry; war-cry, cry of alarm (at approach of enemy); mbu ya nrongo, a false alarm; cf. mbugiririo. 2. (of a train) whistle. kabu, tũ-, n. 1. dim, of above. 2. nickname for a hyena."
585,"be benefited, gain, prosper after a period of adversity, recover, improve in health or condition","prosper, recover health, at, because of","bua v.i. (11), be benefited, gain, prosper after a period of adversity, recover, improve in health or condition; cf. hona. buabua, dim., buanga, diff. buania, rec. benefit each other. buanĩra, assoc. buiya, caus. make benefit, prosper, or improve; sustain, supply needs of. buithia, d. caus. buika, st. pot. buira, app. 1. prosper, recover health, at, because of. 2. be good, for, to; suit."
586,"barrel, drum.","barrel, drum","ibuba [ibuuba], ma-, n. (1), barrel, drum. kĩbuba, i-, n. large barrel. [Sw. PIPA]"
589,descr. of,"of: rush or rapidity, the speed of a galloping horse, a conflagration destroying a hut, the rapid growth of a child, weeds, &c","bu-bu-bu-bu / bubu-bubu / bubububu, ideo. (1), descr. of: rush or rapidity, the speed of a galloping horse, a conflagration destroying a hut, the rapid growth of a child, weeds, &c.; cf. bobo."
591,"completely full, full to bursting.","completely full, full to bursting","-bubuanu, a. (11), completely full, full to bursting. [bubua]"
592,,REFERENCE,"bububũkania, see bubukania."
593,,REFERENCE,"bubuca (N.K.), see bucuca.,"
599,,REFERENCE,"tũbucanga, see mbucanga."
601,(of child) begin to lose first set of teeth.,(of child) begin to lose first set of teeth,"bucuca [bucuuca] / bubuca [bubuuca], v.i. (1), (of child) begin to lose first set of teeth. bucucanga, diff. bucucanira, assoc. bucucira, app."
603,"sth. lacking its counterpart, a blank","lacking its counterpart, a blank","kibugi, i-, n. (u1), sth. lacking its counterpart, a blank; kahiũ ~, a knife without a handle; mũndn ~, a stupid, unintelligent person; cf. kĩbege. [see uga]"
604,grey or white hair.,grey or white hair,"'Ũbui [rabuwi], mbui, n. (111), grey or white hair."
606,descr. of deep sleep,of deep sleep,"buku, ideo. (1/11), descr. of deep sleep; akĩbaarĩrĩra mũno ndagakome ~, he took great care not to sleep too soundly."
608,,REFERENCE,"bukunya, see tukunya."
609,,smearing all over,"kĩbukunyo, i-, n. (1) smearing all over."
615,"1. strip, strip leaves, twigs from branch, pluck out, lop","strip, strip leaves, twigs from branch, pluck out, lop","bura, v.t. (1), 1. strip, strip leaves, twigs from branch, pluck out, lop; cf. buta, mura, hũrũra. 2. trim (hair as when cutting). burabura, dim. buranga, diff. burana, rec. buranira, app. rec. burithia, d. caus. burĩka, st. pot. burĩra, app. burũra, conv. used inten. strip completely."
617,shrub (Rhamnus holstii) (used for medicinal purposes).,shrub (Rhamnus holstii) (used for medicinal purposes),"mũbura, mi-, n. (1), shrub (Rhamnus holstii) (used for medicinal purposes)."
620,"fidgetiness, fussiness, meddling, excessive activity.","fidgetiness, fussiness, meddling, excessive activity","mũburaburiko, mi-, n. (1), fidgetiness, fussiness, meddling, excessive activity. ~ ũgĩraga mũkindĩrio, overdoing ends up in doing nothing. [buraburĩka]"
621,"pull-over, jersey, cardigan",of above,"burana, tma-, n. cl. 14/6 (v), pull-over, jersey, cardigan; sweater; cf. thweta. kaburana, tũ-, n. 1. dim. of above. 2. vest (underwear). [Sw. FULANA]."
622,,REFERENCE,"kaburaũthi, see mburaũthi."
623,"person with finger missing person whose ear has been cut off or extended lobe broken. kĩbure / kĩmure, i-, n. person with one arm or leg",person with one arm or leg,"kabure | kaburure / kamure J, tũn. (11), person with finger missing person whose ear has been cut off or extended lobe broken. kĩbure / kĩmure, i-, n. person with one arm or leg; cf. gĩtuĩku. [bura]"
624,"fleeced, stripped, lopped.","fleeced, stripped, lopped","-bure, a. (11), fleeced, stripped, lopped. [bura]"
625,"(of door, picture, &c.) frame.","(of door, picture, &c","buremu [burceemu] / bureimu, ~ / ma-, n. cl. o/10 or 14/6 (111), (of door, picture, &c.) frame. [E.]"
626,graveyard.,graveyard,"kaburi [kabuuri], n. (viir), graveyard. [Sw. KABURI]"
627,,REFERENCE,"(ka-)(ki-) (ma) buri‘, see under mburi."
628,umbrella.,umbrella,"iburi | maburi?, ma-, n. (1), umbrella. [Sw. MWAvuULI]"
629,"(N-K.) loot, plunder",mix two different ingredients together,"buria [buuria], v.t. (11), (N-K.) loot, plunder; cf. huuria. buraburia, dim. burangia, diff. burania, rec. I1. mix two different ingredients together; mingle flocks and herds. 2. (of cattle) rub each other playfully or aggressively. buranĩra, app. rec. plunder together. burithia, d. caus. assist sb. to plunder. burĩka, st. pot. burira, app."
630,looting.,looting,"iburia, ma-, n. (111), looting. [buria]"
633,tree-loppings.,tree-loppings,"(i-) maburo, n. (1), tree-loppings. [bura]"
634,"descr. of completeness, absoluteness","of completeness, absoluteness","buru, ideo. (1), descr. of completeness, absoluteness; nina ~, finish completely; cf. biũ, burura, buthĩ, biri. [see bura]"
635,"bustling, busy activity","ordinary, common, undistinguished, collection of people or things","buruburu, ~, n. (1), bustling, busy activity ; cf. mũhũgahũgo. buruburu, ma-, n. cl. 14/6, ordinary, common, undistinguished, collection of people or things; small chips from a log; ~ wa and, the masses; ndeto cia ~, fast hurried talk."
636,descr. of,"of: fidgetiness, meddling, restless curiosity, &c","buruburu, ideo. (1), descr. of: fidgetiness, meddling, restless curiosity, &c., the flying of small chips from wood that is being chopped, rapid moving about; thi ~, (of people) fly around (like a bull-roarer). [buraburika]"
637,,REFERENCE,"kĩburuburu, see kĩmurumuru."
638,"1. stir, disturb (ants), disturb (people) mentally","stir, disturb (ants), disturb (people) mentally","buruga, v.t. (1), 1. stir, disturb (ants), disturb (people) mentally; mix up (files, &c., in an office); turn (people) out (of a room), upset (people) by ordering them about; cf. uruga, thogathogania, tetia, negenia. 2. (N.K.) rub on (powder, &c.); rub (sth.) into; cf. haka. Tburuga, refi. rub (dry redochre, white chalk) on one’s body; cf. ĩbũya, moya, buraburuga, dim. buruganga, diff. burugana, rec. burugania, caus. rec. burugithia, d. caus, burugika, st. pot. burugira, app."
639,"n. cl. 14/6 (1x), trouble, commotion","trouble, commotion","buruga, (ma-), n. cl. 14/6 (1x), trouble, commotion; katarĩ ~, without fuss. kaburuga, (tũ-), n. dim. of above; ~, all is well; cf. kaũru; see uruga. [buruga]"
641,1. disturbance,disturbance,"burugunyi, n. cl. 14 (v), 1. disturbance; irritating, annoying, character. 2. annoying person, [burugunyika]"
642,,REFERENCE,"burugunyika, see urugunyika."
643,,REFERENCE,"kaburungo, see mburungo."
644,"strip (a tree, branch, &c.), shave (head) clean","strip (a tree, branch, &c","burura, v.t. (1), strip (a tree, branch, &c.), shave (head) clean; cf. bura, hgrũra. buraburura, dim. bururanga, diff. bururana, rec. bururithia, d. caus. bururĩka, st. pot. bururira, app."
646,,REFERENCE,"kaburure, see kabure."
647,"n. cl. 14/(6) (111), washing blue, blueness","(111), washing blue, blueness","bururu, (ma-), n. cl. 14/(6) (111), washing blue, blueness; cf. mburuu; ngwacĩ cia ~, Kerr’s Pink potatoes. [E. BLUE]"
648,descr. of great distance,of great distance,"burururu, ideo. (1), descr. of great distance; nyoni ĩgĩthir ~, the bird flew off right into the distance."
649,"whirl (a bull-roarer, &c.)","whirl (a bull-roarer, &c","buruta [buruuta], v.t. & i. (1), whirl (a bull-roarer, &c.); revolve, swing round ; throw (with vigour), toss, fling; cf. hiũria, huruta. buraburuta, dim. burutanga, diff. burutana, rec. burutanĩra, app. rec. burutia, caus. burutĩka, st. pot. burutĩra, app. used inten."
650,1.,bullroarer used by boys in scaring birds away from crops,"kĩburuti [kĩburuuti], i-, n. (1), 1. bullroarer used by boys in scaring birds away from crops. 2. windmill for pumping water or working electric generator. kaburuti, tũ-, n. dim. of above."
651,"1. be wealthy, prosperous","be wealthy, prosperous","burutha, v.i. (11), 1. be wealthy, prosperous; be well contented with one’s lot; cf. batha!, tonga, tabara. 2. show off, display oneself, pose for admiration. 3. (N.K.) pretend to refuse food; remain silent, sulky (in order to be humoured); cf. ũmbia. buraburutha, dim. buruthanga, diff. buruthanĩra, assoc. buruthia, caus.; nĩ kĩmũburuthĩtie?, what makes him so adamant? buruthika, st. pot. ; atongete aka~, he is rolling in riches. buruthira, app."
652,"completely, absolutely.","completely, absolutely","burutha, ideo. (1), completely, absolutely."
653,1. polite pretence of refusal to eat food offered,polite pretence of refusal to eat food offered,"ũburuthi, n. cl. 14 only (1), 1. polite pretence of refusal to eat food offered ; thengeria ~, stop sulking. 2. display, dignity; wa ~, a majestic walk. [burutha]"
654,"Afrikaner, Afrikaans-speaking person of South African origin.",Afrikaans (language),"‘mũbur f[mũbuurũ], a-; mburũ [mbuurũ], ~; n. (x), Afrikaner, Afrikaans-speaking person of South African origin. kĩmburũ, n. cl. 7, Afrikaans (language). [E. BOER]."
655,,,"kaburũnaro f[kaburũnaro], tũ-, n."
656,,"small brass ring, worn by old men","| (m1), small brass ring, worn by old men"
657,,"pluck out (bird’s feathers, hair, &c","; as an ear ornament, or as an anklet. v.t. (1) pluck out (bird’s feathers, hair, &c.); strip (leaves from sugar-cane, petals from a flower, wings from an insect, &c.); cf. munya, bata!, buya. butabuta, dim."
658,,"| butanga, diff","| butanga, diff. butanira, app. rec."
