iso,filename,href
alu,geerts_areare1970.pdf,https://130.60.24.118/gramfinder/p/papua/geerts_areare1970.pdf
alu,geerts_areare1970_o.pdf,https://130.60.24.118/gramfinder/p/papua/geerts_areare1970_o.pdf
xam,raper_xam-grammatika2022.pdf,https://130.60.24.118/gramfinder/p/africa/raper_xam-grammatika2022.pdf
xam,raper_xam-grammatika2022_o.pdf,https://130.60.24.118/gramfinder/p/africa/raper_xam-grammatika2022_o.pdf
hnh,fehn_anikhwe-dictionary2024.pdf,https://130.60.24.118/gramfinder/p/africa/fehn_anikhwe-dictionary2024.pdf
