GLOBAL_INDEX,WORD,NOUN_CLASS,PAGE-COLUMN,FULL_ENTRY,FREQUENCY
811,urubănza,11|10,P25-C2,"urubănza, imēnza, 114)10, jugement. Procès. Palabre, Kubá mu rubănza, en procès, en palabre. Guc urubanza, trancher une palabre, juger une affaire. Urubănza rwā ngôndegônde, jugement inique, jugement payé. || Gucá imănza (fam.), se mêler dont on n'est pas responsable. || Affaire. Difficulté, Kugira urubănza, avoir des difficultés. Ikiríi háno r'urubănza, c'est toute une affaire, || Travail, préoccupation. Kubá mu rubănza, être fort occupé. ( Voyage. Kumara urubănza, partir en voyage, rendre visite au loin. || Ivyo biri purăndi rubănnza, cela a une autre destination. Ntā rubănza, i n'y a aucun appel possibile. Urubăanza rwó mu muryango, conseil de famille présidé par Samúragwá et qui tente ďd'applanir les différends. Au cas où les plaignants négligeraient de l'avertir, d’avoir recours à ses bons olfices, le chef de famulie, Samúragwá, avait le droit de réclamer, auprès du tribunal de colline, une sanction contre le demandeur. Lorsgu’il s'agissait de concilier les intérêts dee deux familles différentes, le demandeur pouvait s'adresser directement . au conseil de colline sans passer par le chef de famille. Urubăanza rwó ku mugina, (litt, la palabre qui (est tranchée) sur la termitière). L'arbitrage familial constituait une procédure officieuse de concilation., Le tribunal du tertre, lui, composé des notables représentant les différentes familhes habitant l'unité de base qu'était la colline, se réunissait à l'endroit oùt avait lieu la contestation. Si les deux parties étaient du même ressort, le tribunal de colline était qualifié pour juger. Les affaires dont pouvaient les juges du tertre, de la termitière, étaient les contestations mineures: affaires de famille, injures, querelles, coups et blessures, vols. de vivres, déprédationnns causées par le bétail dans les champs, dommages causés aux cases, dettes, remboursements, prêts, dépôts, etc. Urubănza rwó ku cârihó, procès tranché par le sous-chef, Le tribunal du sous-chef connaissait des affaires foncières, celles concernant le petit bétail. Les affaires sans gravité ne pouvaient pas dépasser le tribunai du sous-chef..Si un Tutsi de bonne famille avait une palabre — pour autant que la valeur du litige dépassât une chèvre — il s'adressait au tribunal du chef. Urubănza rwó kuri sêntáre, palabre, procès soumis à la juridiction du chef de province. On y tranchait les affaires importantes telles gue: homicides, vols de vaches, restitution de gages matrimoniaux, II fallait un intermédiaire Qui introduise l'affaire auprés du chef. Les frais étaient souvent plus élevés que la valeur de l'objet du Htige (vache par exXx.): on devait, comme frais de justice ingoróre, deux vaches, un taurillon et des cruches de bière. Etaient jugés par sêntáre: les sous-chefs, Ies Tutsi riches ou de très bonne famille. Urubănza rwó ku rurimbi, affaire soumise â la cour du roi Toutes les contestations pouvaient être portées devant le tribunal suprême. Le roi présidait le tribunal., Les courtisans servaient d'assesseurs. La compétence de ce tribunal s'étendait au Burundi tout entier. Les grandes familles, les gâánwa en particulier, 25 ne pouvaient être jugées que par le tribunal royal. Il arrivait bien souvent que le roi tranche sans faire comparafÎtre un inculpé de haut lignage si le demandeur lui était inférieur. Il lui faisait ensuite ses reproches en particulier. Il existait une procédure spéciale pour juger les princes de sang, gânwa, excepté lorsqu'il s'agissait de rébellion. Prov. 1367, 1628, 2149, 2370, 3336, 3340, 3384, 3787.",1
829,imbárabára,9|10,P26-C2,"imbárabára, 9j(0, garde-bæuf. Syn. ishwïima. Une légende populaire prétend que ces olseaux blancs sont des femmes de familles princières. Elles ont été métamorphosées pour avoir passé coutre à un interdit. Par curiosité, elles seralent restées à l'extérieur pendant une éclipse. Prov. 865, 2432.",1
830,ibarăfu,9i|10i,P26-C2,"ibarăfu, (sw.), 9ijli, eau glacée. || Par ext. Glace.",1
834,imbarágasa,9|10,P26-C2,"imbarágasa, 9l)l0, puce. || Chique (Pullex penetrans). v. -vûnjáâ «Imbarágasa yímiye ku-Nkiko ivyarira ku Mugămba ng’ ùyu mwâna Biraméntangâre, une puce accouplée au Nkiko (région frontalière) mit bas dans le Mugamba et s'écria: cet enfant je lappellerai « Ceciréussira-à-mon-grand-éionnement », Exclamation du malchanceux. Prov. 2684.",1
870,urubáriro,11|10,P27-C2,"urubáriro, im, 11|f0, branchages flexibles entrelacés espaçant les perches de la toiture dune hutte.",1
914,ibáiisímu,9|10,P28-C1,"ibáiisímu, 9j)0, baptême.",1
922,imbáturo,9|10,P28-C2,"imbáturo, 9jt0, (cfr -bâtur-), objet déplacé; (pop.), arrhes, gage.",1
967,imbāzo,9|10,P29-C2,"imbāzo, 9lji0, (cfr -bāz), herminette. Syn. akaryânkwí. M.R.A.C. 41.698, 41.700, 41.704.",1
968,akabázo,12|13,P29-C2,"akabázo, utu-, 12jfi3, (cfr -báz-) question. || Examen.",1
1002,urubega,11|10,P30-C1,"urubega, in, 11H10, pagne de cérémonie noué sur péplum. Syn. imigwêbēro, immyêndāro.",1
1032,ibénėti,5|6,P30-C2,"ibénėti, ama-, 5lé, cartouche. Syn. isâsu.",1
1092,kubérera,,P32-C1,"kubérera, -yce, mettre la levure dans une boisson que lon veut faire fermenter. 32 a",1
1144,urubėvya,11|10,P33-C2,"urubėvya, im-, 11|19, dévergondé, corrompu, dépravé, dissipé. Syn. inshirasóni, inkurúbindi.",1
1147,umubėya,11,P33-C2,"umubėya, v. -bèya f1.",1
1195,ikibigu,7|8,P35-C1,"ikibigu, ibi, 7(8, (cfr -bigur-), objet ébréché, entaille.",1
1245,urubingo,11|10,P36-C1,"urubingo, im-, 14)10, tige de roseau. || Lieu où poussent ies roseaux. 6, (-têmb- s'écouler, -bingo 11, lieu où poussent les roseaux «qui passe à travers les roseaux »), ceau vive, claire, lunpide, pure. Syn. amagógoryé.",1
1380,akabóko,,P39-C2,"akabóko, utu- petit bras; patte de devant. || Umuntu w'akabóko, qui fait main basse sur tout ce quwil trouve, kleptomane. Kabóko, la, surnom du manchot et aussi du voleur., Syn. umunyoni. || Manipule. Syn. akajákubóko, - ukubóko, ama-, 156, bras. Ukubóko kw'igcnyo, le bras gauche, à gauche. Ukubóko kw'ikirimbi, bras musclé, très gros. || Patte antérieure. || Kubêskhwáho n’amabóko, vivre du travail de ses mains. Kuryá amabóko yāwe, vivre de son travail || Gucá ukubóko umuntu, détrousser, dépouiller qqn. || Urupfú rwaramucîye ukubóko, la mort iui a enlevé son fils. || Gucibwa ukubóko, commettre un crime de lèse-majesté, i) Gukúbita ukubóko, agoniser, Syn. gusâmbagirika. |i- Mabóko regere, fainéant, || Kuvúna amabóko, essayer vainement, faire effort. || Gutá amabóko, cultiver sans récolter. Prov. 9i, 302306, 443, 1132, 2153, 2603, 2624, 3135, 3215, 3265, 3817, 3939.",1
1429,akābāboné,12BA|13BA,P41-C1,"akābāboné, utw-, 12BA|I3BA, (cfr -bón-), exiraordinaire, rare. || Lieu désert. Syn. agahïnga.",1
1493,imbûbūusi,9|10,P43-C1,"imbûbūusi, 9i10, (cfr -bûbut-), celui qui est courbé, qui se penche en marchant.",1
1530,ibūuku,5i,P44-C1,"ibūuku, ama-, 5l, (de Fangi. book), livret d'identité où l'on inscrit l'impôt de capitation. || Par ext. impôt.",1
1560,rubûndá,11a,P45-C1,"rubûndá, 1ta, (cfr -bûnd-), à la manière lun chiot. Kurâra rubûndá, passer la nuit à la belle étoile, n'avoir ni feu ni lieu. Syn. kurâraguza.",1
1569,ibundi,5|6,P45-C1,"ibundi, ama-, 5'6, (cfr -bûndik-), tas de terre, butte. Syn. ibùri. Gucáâ amabundi, butter,",1
1706,igihândàmbwá,,P49-C1,"igihândàmbwá, ibi-, (-hand- piquer, -bwá 9M0 chien), Crotalaria spinosa H., Blepharis buchneri LIND, Geranium aculeolatum OLyv, La cendre de cette plante est employée en aspersion sur les plaies et piqûres. Elle est aussi recommandée contre migraines, inflammations, asthme et bronchite.",1
1707,umuryâmbwá,1|2,P49-C1,"umuryâmbwá, aba-, I|2, (-ryá manger, -bwá 9 chien), individu qui jette le diseréddit sur toute sa famille. Prov. 2962.",1
1711,akabwá,,P49-C1,"akabwá, utu-, (cfr -bwá 9), petit chien, chiot. Prov, 3331.",1
1783,urucăca,11|10,P51-C2,"urucăca, in-, 1(|10, Cynodon dactylon (L.) PERS., Brachiaria sp. « Isāzi ifáshwe n'urucăca iti ar'îry'i bwămi ndāy'aha, la mouche accrochée par une mauvaise herbe s'exclame: comme cest la coutume chez le roi, je devrai faire antichambre ». Est dit devant une réponse dilatoire. Kuronderera urwânko ku rucăca, se haïr sans raison. — L'équivalent d'un demi-verre de la décoction d'une poignée de feuilles est bu matin et soir « pour ce qui sort du corps ».",1
1927,agacéreré,12|13,P54-C2,"agacéreré, udu-, 12(13, (-cér--), silence, calme, paix, recueillemeni. Syn. umutêkāno. Kuguma mu gacéreré, se tenir coi,",1
1943,ikidácīká,7|8,P55-C1,"ikidácīká, 1b1-, 7l8, (cfr -cîk-), (poét.), corde de larc, «celle qui ne peut pas se rompre ».",1
2028,icôngé,5|6,P57-C2,"icôngé, ama-, 5(6, (cfr -côngé 3), jone de marais. pn se sert des feuilles pour nettoyer les pots à lait.",1
2037,igicu,,P57-C2,"igicu, ibj-, nuage. Prov. 1177.",1
2087,agacukuzi,12|13,P59-C1,"agacukuzi, udu-, 12t13, (cfr -cukúru 5), sorte de putois, Kunūka agacukuzi, puer, sentir frès mauvais, i",1
2163,umucûûrano,1|2,P61-C1,"umucûûrano, 2ba-, 1|2, (cfr -cûr-), veuve remarice.",1
