GLOBAL_INDEX,WORD,NOUN_CLASS,PAGE-COLUMN,FULL_ENTRY,FREQUENCY
5329,Rwamahéke,11MA,P150-C2,"Rwamahéke, 11MA, (cfr -hékeny-), (poét.), nom du léporide (lièvre, lapin) dans les contes dont il est je héros rusé et débrouillard. On attribue son intelligence au fait qu’il parvient à semer ses adversaires en fuyant en zigzag. Syn. urukwâvu.",1
5366,sâruhëmbe,9a|10a,P152-C1,"sâruhëmbe, 9alla, (poét.), (sé la compère, -hěmbe 11 grande corne), maître cornu. Surnom poétique du bouc.",1
5464,Nyamíhène,9a|10a,P154-C1,"Nyamíhène, 9a|ia, (poét.), hyène. « Nyamíhėne ihûûûye n’abantu bati K'ucumbágira ní kukí ? Nacó kiti n’īsóni zā cāne. Nahó cākwega umupfú, pourquoi donc boites-tu? demandent des gens en croisant une hyène. C'est par excès de pudeur, dit-elle. Or elle était en train de traîner un cadavre.» Même pris en flagrant délit, le coupable se cherche encore des excuses.",1
5466,igisómàmpėne,7|8,P154-C1,"igisómàmpėne, ibi- 7|8, (-som- baiser, -hène 9 chèvre), bouc. Syn. ihúshi.",1
5496,guhenyeka,,P155-C1,"guhenyeka, -tse, (-heny--), (pop.), sen aller. Syn. kugenda, kwijūra.",1
5670,ikimpigínya,7N,P160-C1,"ikimpigínya, 7N, (cfr -híginya 9), doute, soupçon. Gutêra kimpigínya, faire douter; provoquer la jalousie. Faire une enquête sur les qualités de la future épouse.",1
5820,uruhinja,11|10,P164-C1,"uruhinja, impînja, 11119, enfançon, poupon vers le quatrième mois. Prov.",1
5827,akāmuhinya,12MU,P164-C1,"akāmuhinya, 12MU, (cfr -híny-), rictus, rire ironigue, ricanement.",1
5897,mpishi,9a|10a,P165-C2,"mpishi, 9a|lg0a, (efr -hibīr-) sans augment, sans compl, dans kugwa mpishi, avoir une indigestion, souffrir d'indigestion. Syn. guhihirwa.",1
5992,umuhōho,3|4,P168-C1,"umuhōho, imi-, arc. Syn. umuheto. || Par ext. Arme. Kurâra kubiri nwumuhōho, se coucher sans armes. Kwambambira imihōho, avotr recours aux armes, faire la guerre. Gutânga imibhoho, rendre les armes.",1
6007,ubuhoma,14|10,P168-C2,"ubuhoma, impoma, 1410, (cfr -hóm-), serpent : Leucaphidion capense.",1
6103,igihôngwahôngwa,7|8,P171-C1,"igihôngwahôngwa, ibi-, 7J8, (cfr -hôngw-), mais ou sorgho rongé par le mpôngwá.",1
6480,amahğre,6,P181-C1,"amahğre, 6, (cfr -hûrir-), carrefour. Syn. amayirâbiri. Amahŭre y'inzira, la croisée des chemins. -húr- agir avec vivacité -hhúra 7, 9, 14 -hurur-húr o 37 -hururir- -hurukw-nyáhuro 1 -huruz- -hurúru 1, -húru 7 -huruzi 1 RY",1
6501,igihurūduka,7|8,P181-C2,"igihurūduka, impurūduka, 710, (cfr -hurūduk-), irréfléchi, impulsif. .",1
6559,urumpuzenge,11N,P183-C2,"urumpuzenge, 11N, (cfr -húzeng-), entrelacement, enchevêtrement. Syn. urusóbagirané. Rwari urumpuzenge, urusóbagirané rw'imirongo myīzá, c'était un entrelacement de lignes décoratives.",1
6646,impwěrwa,9|10,P186-C1,"impwěrwa, 9j1i0, (cfr -hwêrw-), vache dont le veau est sevré. Syn. umusunga.",1
6679,ikimpwìri,7NJ|8N,P186-C2,"ikimpwìri, ibi-, 7NJ|8N, (cfr -hwirīm-), chœur. Ikimpwìri camajwí, chæur à plusieurs voix.",1
6906,inshirukabwira,9|10,P193-C1,"inshirukabwira, 9(10, (-shíruk- mettre le maximum, -ira 14 zèle), courageux, travailleur, dévoué. Syn. umunyamwěte.,",1
7158,kujingana,,P201-C2,"kujingana, -nye, (-jing--), se battre, lutter à force égale. Var. kujinjana. 201",1
7175,ijipo,9a|10,P202-C1,"ijipo, ama-, 9all6, (fr.), jupon, jupe. Ijipo ya mwoto, un beau jupon.",1
7285,urujuru,11|14,P205-C2,"urujuru, ubu-, 1114, perle oblongue.",1
7290,nyabwïjute,9a|10a,P206-C1,"nyabwïjute, zānyábwïjute, 9lall0a, (cfr -iïjute 14), insecte à gros abdomen. Var. ikinyábwïjute. Nyabwïjute iri mu bwătsi, cet insecte est dans lherbe. Fig. la, individu gros et court; picnyque. — Cet insecte étant présage de bonheur, son nom est donné aux enfants comme appellatif.",1
7361,umukâká,3|4,P208-C2,"umukâká, imi-, 3j44, Kotschya strobilantha (WELW. ex BAK.) DEwIT  DUVIGN., Monopsis stellarioides PRESL. — La racine passe pour avoir des propriétés aphrodisiaques. Les femmes lutilisent également en cas de dysménorrhée.",1
7371,ikāki,9i,P208-C2,"ikāki, 9ż, (fr.), kaki. Impûzu y'ikāki, une étoffe de couleur kaki.",1
7535,igikano,,P213-C2,"igikano, ibi- (cfr -kanūk-), nerf de bæuf gui sert à fixer le glaive intâmbi. M.RA.C, 41711.",1
7580,agakara,12|14,P214-C2,"agakara, ubu-, 12|14, (cfr -kara 3), belette. Prov. 2221-2222.",1
7596,ikárămu,9i|6,P215-C1,"ikárămu, ama-, 9ill6, (sw.), crayon.",1
7597,gukaramuka,,P215-C1,"gukaramuka, -tse, (-karam--), avoir les yeux ouverts. Par ext. être intelligent. Syn. gukérebuka.",1
7598,gukáranga,,P215-C1,"gukáranga, -nze, (-kár--), rôtir, faire frire. || Gukáranga umuntu, empoisonner qqn. Prov. 131.",1
7611,urukáratăsi,11|10,P215-C2,"urukáratăsi, in-, 11ji0, (ar. qartas), papier. Urukáratăsi rwerá, du papier blanc. Uruhănde rwurukáratăsi, un feuillet, une page. Syn. urupapuro.",1
7614,ikaravăti,9i|6,P215-C2,"ikaravăti, ama-, 9ijl6, (fr.) cravate. Umusóre yâpfunze ikaravăti irí ku gashăti kēzá kēzá, (ironique), lorsawun jeune homme a noué sa cravate sur une très belle chemise.",1
7660,igikatikati,7|8,P216-C2,"igikatikati, ibi-, 7(8, tjs en C, loc. ikirago c’'igikatikati, une natte faite d'écorces de bananiers, Syn. ikirabirabi.",1
7754,agasâmbabákěcuru,12|13,P219-C1,"agasâmbabákěcuru, udu;-, 12J13, (-sâmb- essayer, se débattre, -kěcuru 2), petit insecte noir.",1
7951,ikěte,"5, 9i|6",P223-C2,"ikěte, ama-, 5, 9iló, lettre. Epître. Var. ïkcti. Syn. ibáruwá (sw.).",1
7978,urukígo,11KI,P224-C2,"urukígo, 11KI, (à rapprocher de -gó 7, 11?), en forme de grand cercle, formant enceinte. Batōra agasózi kumukenke murēmure, mwizá, utăturiwe kîburé agasózi kēzá, aho ního būbáka impwěcza z'înyána, bakazûūbaka urukígo, hagâáti hagasigara intangāro zikuzé, on choisit une colline où l'herbe est longue et bonne et qui n’a pas été touchée par les feux de brousse, ou encore une pâture où herbe est plus fine; c'est là quwon édifie les cases servant d'étables aux veaux; on construit celles-ci en cercle et, au milieu, on laisse un vaste espace réservé au bétail adulte.",1
7993,urukîko,11,P225-C1,"urukîko, 1t, (cfr -kîkūr-), jugement. Syn. urubănza, Néol. Urukîko, Chambre des représentants. Urukîko rw’împérūká, jugement dernier. Urukîko rw'Abēpiskópi, concile.",1
8167,nkurìnkôbwa,9a|10a,P230-C2,"nkurìnkôbwa, 9al10a, (n-kúr- je grandis, i- chez, -kôbw- recevoir les gages matrimoniaux), enfant confié à la garde des grands-parents maternels et qui héritera d'eux. Si le grand-père maternel meurt sans avoir pris ses dispositions, son petit-fils a le droit de réclamer auprès de samuragwa, son oncle maternel. C’est également le frère de la mère qui, bon gré, mal gré, prend en charge les enfants de sa sœur au cas où celle-ci na pas fait dun gukôbwa coutumier. C’est lui seul qui sera habilité à régler les transactions de mariage au sujet de ses nièces v. -kôsha. Leur père n'aura son mot à dire que s’il a régulièrement fourni une sorte de pension alimentaire: bière, vivres, étoffes, plus éventuellement, une vache destinée à fournir du lait à ses enfants. Cette vache n’est pas considérée comme inkwâno q.v. Elle est restituée lorsque les enfants quittent la famille de leur mère., A la mort du géniteur, les enfants nkurìinkôbwa sont emmenés le jour de la levée du deuil par la familile maternelle.",1
8186,gukōkera,,P231-C2,"gukōkera, -ye, attacher des grelots aux colliers des chiens. || Trotter. i",1
8278,igikómezo,,P233-C2,"igikómezo, ibi (cfr -kómez-) feu de veille des vachers. Syn. igicâniro. — Le soir, vers cing ou six heures, dès que le troupeau revient du pâturage, le chef des bouviers donnait Pordre d'allumer le feu, Les vaches, habituées, se groupent dans la fumée qui éloigne d'elles les insectes. On entretient ce feu la nuit et les vachers installés pour leur veille ne parlent qwòà voix basse afin de ne pas réveiller le bétail. C’est sous le foyer destiné au bétail qu'était enterré le chef de famile.",1
8907,igikwàbari,7|8,P252-C1,"igikwàbari, ibi, 788, (à rapprocher de -kwàbaz-), peau brute, non tannée servant",1
9052,iliturjiyá,9i,P256-C2,"iliturjiyá, 94, (fr.), liturgie.",1
9170,ikimăramāre,7|8,P260-C1,"ikimăramāre, ibi-, 78, (cfr -mâramār-), navré, honteux.  ubumăramāre, 14, (cfr -mâramār-), consternation.",1
9479,ikimúga,7|8,P268-C2,"ikimúga, ibi-, 7(8, (cfr -múgar-), infirme; invalide; perclus; paralytique; impotent; estropié; boiteux; cul-de-jatte. Débile. || Objet cassé, fêlé, hors d'usage. Ibimúga, n’'inkóno zipfūyé, les cruches fêlées sont dites invalides. Prov. 775-778.",1
9732,umunánuké,1|2,P276-C1,"umunánuké, aba-, 1(2, (cfr -nanuk-), un affamé. Syn. umushonji.",1
9897,urunigi,11|10,P281-C1,"urunigi, inigi, 114190, (cfr -nigiriz-), collier de perles. Syn. urudėde. M.R.A.C. 41.938.",1
9963,runíni,11a,P283-C1,"runíni, 1fla, (cfr -níni), sans augment, sans compil., en loc. kwîfata runíni, être distant, compassé, dédaigneux. V. -níniriza.",1
9975,igikininti,7KI|8KI,P283-C1,"igikininti, ibi-, 7KI|8KI, (cfr -nîntur-), étêté.",1
10175,akanūbwe,12|13,P287-C2,"akanūbwe, utu- 12(13 ou ikinūbwe, ibi-, 7(8, (-nūb--), gêne. Malaise. Kuva ahó ntangúriye kubóna mitende ntâ kanūbwe mfisé, depuis que je suis convalescent, je wai plus jamais ressenti de malaise. || Froideur, air maussade.",1
10303,inyâga,9|10,P291-C2,"inyâga, 9lj10, (cfr -nyag-), oryctérope, vulg. fourmilier africain: Orycteropus afer PALLAS.",1
10426,ubunyégamo,14N,P295-C2,"ubunyégamo, 14N, (cfr -égamo 9), nattes ornées de brins de diverses couleurs et appliquées contre les cloisons. Elles sont faites en Miscantidium -gúhu 11.",1
10508,kunyíginyura,,P297-C2,"kunyíginyura, -ye, (à rapprocher de -nyíganz-), ébranler; tenter de forcer une porte, la. secouer. l| Arracher difficilement une dent.",1
10646,umunyota,,P301-C1,"umunyota, imi- cendre. Barabéza kăndi bakamījīra umunyota hanzé, on répand alors de la cendre au dehors. Mùngu avundurura Rwimbinănka mu munyota, Dieu sauva R. de sa misérable situation. Gucîka umunyota, être réduit en cendres. Néol. Umăsi w’iminyota, te jour des Cendres. Prov. 847, 1575, 3484, 3831, 3950.",1
10915,urwônōrí,11|10,P311-C1,"urwônōrí, inz-, 11()10, (à rapprocher de -ôn-), charançon. Ntibabirekéra hāsí kukó batīnyá urwonōrí, ils ne les laissent pas à terre parce qu'ils craignent les charançons.",1
10930,nyabwôro,12a|14a,P311-C2,"nyabwôro, bwanyábworo, 12al|i4a, (cfr -ôro 14), (poét.), tourterelle, colombe. Syn. akanúma. Nyabwôro karikó kararyá imbúto, la tourterelle est en train de manger les semences.",1
10962,nyakôtsi,9a|10a,P313-C1,"nyakôtsi, zānyákótsi, 9lal|l0a, (cfr -ôtsi 3), comète. Har'izûba, barūkwêzi, hari nyakôtsi, il y a le soleil, la lune et la comète. Iyo nyakôtsi yó yar'înkí ?, et cette comète, à quelle catégorie appartenait-elle ?",1
11061,-pfâsóni,"1, 11, 14",P317-C1,"-pfâsóni, 1, 11, 14. v. -sóni.",1
11277,ubukarábe,14KA,P326-C1,"ubukarábe, 14KA, (cfr -ráb-) mouchetures, mycoses, marbrures, taches rouge-blanc sur le corps humain.",1
11646,uburâro,14|6,P340-C2,"uburâro, ama-, 14)6, (cfr -râr-), logement. Syn. uburyâmo. Campement. Ensemble des huttes construites par les bergers pour s'abriter pendant la transhumance.",1
11701,inziràndāvyi,9|10,P342-C2,"inziràndāvyi, 9ll0, (-zir- interdire, -rāvyi  Dieu), néol., laique, neutre, athée. Amashūle y'inziràndāvyi, les écoles laïques. Syn. inzíramâna.",1
12039,burikōko,9a,P356-C2,"burikōko, ou sêburikōko, 99a (préf. bu-), touraco géant: Corythacola cristata VIEILLOT.",1
12185,ururírimbo,11|10,P363-C1,"ururírimbo, indírimbo, 11l10 ou 910, (cfr rírimb-), chant, chanson; cantique; hymne. IIndírimbo y'umuhákuzi, la mélopée de lapiculteur. Indírimbo z'ûrwêze, les cantilènes. Indirimbo zuguhaya Uburùndi, les hymnes en rhonneur du Burundi. Gutêra indírimbo, entonner un chant.",1
12271,ururogōzo,11|10,P365-C2,"ururogōzo, indogōzo, 1110 ou 9l|10, (cfr -rogōz-), terme noble, calebasse dans laquelle on boit. Syn. urubaya, urumāri. Par ext. bière prélevée dans une cruche qui vient d’être offerte en cadeau et dont le donateur est prié de prouver linnocuité en buvant le premier.",1
12554,inárume,1a|2a,P375-C1,"inárume, bānárume ou bāyínarúme, laj2a, le frère de sa mère. Nkahava ntâha nk'uwiriwe kuragirira nárume, finalement, j'aurai travaillé pour le roi de Prusse. V. parenté, p. 618.",1
12759,ryama,5a|9a,P382-C1,"ryama, 5a, 9a, (cfr -ryâm-), peste bovine. Var. ndyama. Epizootie. Syn. rujoromba. Ryama yatêye, la peste sévissait. — Pour la chronologie v. -randa 12. Liste de quelques événements mémorables qui servaient de points de repère : ubwîrakábiri, éclipse de soleil: 1880; ryama, peste bovine: 1890; Abadăgi, entrée des Allemands au Burundi: 1895; Mort de Mwêzi: 1908; Rusokoza yatêwe, révolte de Rusokoza: 1908; mort de (grand-père de Muhîrwa): 1903; mort de Mutâga: 1915; Ababiligi, arrivée des Belges: 1916; Intōtera, Ubuhăhāte, invasion de criquets: 1919; Rujoromba, épizootie: 1920; Mort de Mênyo: 1921; Mu mapfá, pendant la famine: 1944.",1
12798,ndimiràndyé,1a|2a,P383-C1,"ndimiràndyé, bāndimiràndyé, Íai2a, (n-rim-ircultive pour moi, n-rí-é moi je mangerai), profiteur, paresseux qui se laisse entretenir et trouve tout normal de donner ses ordres sans prendre sa part de travail,",1
12899,umugisābo,3KI|4KI,P387-C1,"umugisābo, imi-, 3KIJ4KI, (cfr -sābo 7), amulette attachée au col de la baratte pour avoir beaucoup de beurre.",1
12900,akanyabusābo,12|13,P387-C1,"akanyabusābo, utu-, 12:13, plante non déterminée. Var. akanyamusābo.",1
13109,agasando,,P394-C2,"agasando, udu-, bident, binette, serfouette.",1
13112,isanduruma,9i|10i,P394-C2,"isanduruma, 9i|i0i, (corruption du mot français rassemblement), mouvement de foule, foule houleuse. Isanduruma iratêye, attention, il y a du grabuge! || Ameublement.",1
13271,rusāsumaa,11a,P400-C1,"rusāsumaa, fla, (cfr -sāsum-), (fr.), recensement, dénombrement.",1
13287,masâte,6a,P400-C2,"masâte, 6a, culotte courte, short. Syn. impăre.",1
13319,gusáyangana,,P401-C2,"gusáyangana, -nye, (-sáy--), briller; lancer des rayons; être éclatant, étinceler, resplendir; miroiter; reluire. Var. gukáyangana.",1
13488,isemo,9i|10,P407-C1,"isemo, 9i|l0, (cfr -sémur-), encoche, coup laissé par un outil..Var. isemu. Syn. ibango. Isemo yîsúka, un coup de pioche. Prov. 726, 1738.",1
13865,igisheshera,7|8,P418-C1,"igisheshera, ibi- 7(8, syphillis. Syn. ikijabura.",1
13871,urushí,"11|6,10",P418-C1,"urushí, ama-, in-, 116 ou 10, paume de la main. |l Plein la main, poignée. Gutéga amashí, tendre les deux mains, quêter. Kubâ ku mashi, être très peu nombreux. Turi ku mashí, nous sommes une poignée. Gukúbita amashí ku yăndi, frapper des mains (pour marquer sa surprise). Yasanze inká zâmwôneye imirima akubita amashí ku yăndi aragenda ntáco yasubíye kuvúga, comme il venait visiter ses champs, il les a trouvés dévastés par les vaches; effaré il s'en est allé sans dire mot. Gutá urushi ku munwa, manifester sa déconvenue. Gukómera amashí uwŭndi, demander une faveur. Demander pardon. Remercier. Imâna yāmukúbise il est guéri. || Soufflet, gifle. Yamukubise urushi mu bitúgu, il lui a donné une tape dans le dos. || Urusbí rwukubóko, le haut de lomoplate. Hagáti yinshí z'ibitúgu, entre les omoplates. Loc. cfr -kóma. Prov. 358, 621, 848, 1108, 2598. Umushi, Aba-, 1|2, habitant du Bushi.  418",1
13946,mushíkănyu,1a|2a,P421-C1,"mushíkănyu, bashíkibănyu, lal|2a, (cfr -shiki la), la sæur aînée d'individus de sexe masculin. La cousine parallèle., V. parenté, p. 621.",1
13947,mushíkāwe,1a|2a,P421-C1,"mushíkāwe, bashíkāwe, llal2a, (cfr -shíki 1a), SŒÆUr d'un individu de sexe masculin. Nkubaríre jyó bashíkāwe băroye?, dois-je te dire où sont tes sæurs ? V. parenté, p. 619, 621.",1
13954,gashíkike,12a,P421-C1,"gashíkike, 124, (cfr -shíki 1a), sa sœur cadette, puinée (avec une nuance affectueuse) : sa sæœurette.",1
14370,ishusho,9i|10i,P434-C1,"ishusho, 9i)10i, (cfr -shush-), dessin, image, figure, portrait. Var. cl. 5. Ishusho y'umuntu, la reproduction photographique d'un individu.",1
14440,igishwigiri,7|8,P435-C2,"igishwigiri, ibi-, 718, touffe d'herbe. Ibishwigiri vyimishatsi, une chevelure hirsute. Syn. ibishwirima. Prov. 3417. ama-, 9|l6, pique-bæuf : pique-bbæuf à bec rouge. Buphagus africanus LINNÉ.",1
14599,isíimbi,9i|6,P440-C2,"isíimbi, ama-, 9ijló, (cfr -simbi 11), cauris, coquille du gastéropode Cypræa pantherina.",1
14611,inabisimbo,1a|2a,P441-C1,"inabisimbo, 1lal2a, (cfr -simbo 7|8), fenme. Syn. v. umugòóre.",1
14647,umusinyi,3|4,P442-C1,"umusinyi, imi-, 3|44, Dombeya rotundifolia PLANCH.",1
14665,isipiri,9i|6,P442-C2,"isipiri, ama-, 9i|l6, pic, pioche. V. ipiki.",1
14886,smo,9a|2a,P447-C2,"smo, bāsómo, 9lal2a, un homonyme. Ni sòmo yanje, c'est mon homonyme, nous portons le même nom. Syn. Ni mazina yanje.",1
15259,isùsa,,P458-C1,"isùsa, ama-, pignon.",1
15342,igisyâré,7|8,P459-C2,"igisyâré, ibi, 7(8, Dioscorea dumetorum (KuNTH.) Pax. Syn. ikinyarubabi.",1
15472,tagatifu,,P463-C2,"-tagatifu, substantif multiclasse emprunté au 463 sw., saint, sacré. Var. -tāgatifu. Mu gitabu gitāgatifu, dans la sainte Ecriture. Ubutatu butagatifu, la sainte Trinité. Imisa ntagatifu, la sainte messe. Indwi ntagatifu, la semaine sainte.",1
15730,itănga,5|6,P472-C1,"itănga, ama- 35j6, (sw.), charpente (ď'une construction).",1
15873,rutáre,,P476-C1,"rutáre, la (préf. ru), (cfr -táre 11, 14), surnom dun individu solide. 476",1
15901,urutaro,,P477-C1,"urutaro, in-, (cfr -táruk-), van, crible. Syn. urugósōzo. Intaro bazikorēsha mu kugósōra nó mu gusora, on se sert des vans pour vanner et pour trier le grain. Urutaro rw’ïmisùri, vyan fait de Smilax kraussiana MEISN. et dont se sert le devin pour pratiquer ses consultations : il y jette les graines de courges et déduit de leurs positions le sort de son consultant. Kurimira ku rutaro, travailler en vain. Prov. 353, 521, 785, 1954, 1987, 2270.",1
16235,inyamuntenge,9|10,P487-C1,"inyamuntenge, 9|(10, oiseau non identifié; ses plumes seraient employées comme aphrodisiaque.",1
16711,rutaramatongo,7a|8a,P501-C2,"rutaramatongo, 7al|8a, (-tar- présager, -tongo ó lieu délaissé), surnom du hibou dont le hululement est présage de mort.",1
16732,itonwări,9i|6,P502-C1,"itonwări, 9il6, (fr.), entonnoir. Syn. umubírikirá.",1
17259,gututura,,P517-C2,"gututura, -ye, (cfr -tūta 9, 14), frapper. Yāmutūtuye igipfûnsi, il lui a donné un coup de poing.",1
17345,igitwengo,7|8,P520-C2,"igitwengo, ibi-, 7i|8, (cfr -tweng-), rire, moquerie, raillerie, plaisanterie. Syn. igiseko. Bó baburá iyó bacūurá ntibábure igitwengo, eux n'ont pas de bétail mais cela ne les empêche pas d'être heureux l",1
17361,ugutwí,15|6,P521-C1,"ugutwí, ama-, 15j6, oreille. Ugutwí kw’'înká, roreille d'une vache. Amatwíi marēmare, de longues oreilles. Ouïe. Amatwí arebáye, oreilles pendantes (chien). Amuhora mu gutwí imisi yōse, sans cesse, il lui suggère. Gucá amatwí umwâna, punir un enfant. Gucá inyuma y'amatwí, entrer par une oreille et sortir par lautre. Gucâ mu matwí, écouter attentivement. Gutá iryó mu gutwí, frapper, gifler. Gutéga amatwí, écouter, prêter Kubanga amatwí, écouter attentivement. Kuména amatwí, parler très fort, crier. Kwîca amatwí, feindre de ne pas entendre, refuser de répondre à un appel, refuser une demande. Kuziba amatwí, abasourdir. KKugira amatwí nk'ây’'înyábuhóro, avoir de courtes oreilles. Munwa wonká ugutwí, rapporteur. Prov. 180, 310, 328, 343, 420, 864, 1031, 1400, 1479, 1957, 2007, 2509, 3383, 3905.",1
17490,icūguruzo,7|8,P526-C2,"icūguruzo, ivyuguruzo, 7l|8, (cfr -uguruz-), néol., clef.",1
17597,inkûmwá,9KA,P529-C2,"inkûmwá, (cfr -îmwá 3), 9KA, dans lexpression kurâra inkûmwá, passer une nuit blanche dans à cause des soucis, avoir la gorge sèche sans pouvoir se rafraîchir de la nuit.",1
17979,urwâvumbá,11|10,P541-C1,"urwâvumbá, ivy-, 1118, (cfr -vumba 11), escarbille, cendres qui se lèvent au-dessus d'un feu. Prov. 7.",1
18350,umuyabaga,"1|2, 4",P555-C1,"umuyabaga, abayabaga, ou imi-, 1|2, 4, tjs en C, adolescente. Umukbwa wumuyabaga, jeune fille environ 12 à 18 ans. Syn. inkùmi. Abakěbwa b'imiyabaga, des jeunes filles formées. V. -nyabaga 10.",1
18364,inkúbamuyaga,,P555-C1,"inkúbamuyaga, (-kùba 9 foudre, -yaga 3 souffle), nerveux, vif, rapide. Syn. inkubákuba.",1
18409,uruyanza,11|10,P556-C2,"uruyanza, inyanza, 14110, fleuve.",1
18467,ikiyênzěri,7|8,P558-C1,"ikiyênzěri, ibi- 708, (cfr -yênzēr-), flâneur. Vagabond, errant, qui wa pas de domicile fixe. Syn. icangāzi, umuyérerezi.",1
18534,kwîyo,,P559-C2,"kwîyo--, v. aussi -0--.",1
18840,Inánzerére,1a,P570-C2,"Inánzerére, la, (cfr -zérēr-), rôdeuse. || Inánzerére, 10a, îles flottantes.",1
18879,intâmayûrûzi,,P572-C1,"intâmayûrûzi, (-tāma 9j10 mouton, -yà de, -zi 11 rivière), pélican.",1
18939,inzígamarúgo,,P574-C1,"inzígamarúgo, V. -go.",1
19036,kitazimângana,7a|8a,P576-C2,"kitazimângana, bi-, 7al8a, (cfr -zímangan-), sans augment, sans compl., ineffaçable, indélébile.",1
19043,izimāno,5,P576-C2,"izimāno, 5, ou inzimāno, 9!10, (cfr -zimānn-), ce que lon offre à un hôte, festin, banquet. Umutwăre arazizimāna innnzimāno z'îndyá n'inzóga, le sous-chef fournit aux (tambours) de quoi boire et manger. Prov. 3001.",1
19074,ukuzimu,"1,517",P577-C2,"ukuzimu, 15, 17, (cfr -zimu 3), schéol, des morts : sous terre, intérieur de la terre, dans les profondeurs du sol. Ikijumpu căgorewe mu kuzimu, une patate qui est restée longtemps dans le sol. Par ext. monstre, être étrange. Uryá muntu n'ukuzimu, cet homme est un monstre de méchanceté. Mbě, wā kuzimu ushāka ikí?, e4 bien, que veux-tu donc, affreux hirsute? Expr. Gucîra imizi ukuzimu, souhaiter le malheur à qqn. Prov. 89, 230, 257, 1777, 2631, 2674.",1
19294,umùûzo,3|4,P584-C2,"umùûzo, imizo, 3!14, Vepris orophila G. GILB.",1
19305,izosi,5|6,P585-C1,"izosi, ama-, 56, col, cou. || Goulot. Loc. cfr -kégyagura, -vúna. Prov. 711, 1123, 2047, 2458, 3215, 3220.",1
