,GLOBAL_INDEX,WORD,AFFIX,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY,FAILED,WORD_CLEAN,AFFIX_CLEAN,FULL_ENTRY_CLEAN
13,13,inyawïyabira,bānyáwīïyabira,9lal2a,"femme qui a habitude de gémir, hypocondre",n.,P1-C1,"inyawïyabira, bānyáwīïyabira, 9lal2a, (cfr -iyabir)-, femme qui a habitude de gémir, hypocondre. Syn. nyawririra. Inyawlyabira iri munzu, la dolente est dans la hutte. Bānyáwīlyabira bari mu-nzu, les hypocondriaques sont à l'intérieur,",False,inyawïyabira,bānyáwīyabira,"inyawïyabira, bānyáwīïyabira, 9lal2a, (cfr -iyabir)-, femme qui a habitude de gémir, hypocondre. Syn. nyawririra. Inyawlyabira iri munzu, la dolente est dans la hutte. Bānyáwīlyabira bari mu-nzu, les hypocondriaques sont à l'intérieur,"
65,65,icâgo,ivy,7l8,calamité,n.,P2-C2,"icâgo, ivy, 7l8, -āâg-), calamité. || Fig. individu hardi. Surhomme, Sert à former certains superlatifs. N'Icâgo mu bwênge, il est très intelligent, N'icago mua kwîruka, i court très vite, Prov, 601, 602, 1012, 1487, 2097, 2465,",False,icâgo,ivy,"icâgo, ivy, 7l8, -āâg-), calamité. || Fig. individu hardi. Surhomme, Sert à former certains superlatifs. N'Icâgo mu bwênge, il est très intelligent, N'icago mua kwîruka, i court très vite, Prov, 601, 602, 1012, 1487, 2097, 2465,"
73,73,ubwâkwahá,ivyâkwahá,148,poils sous l'aisselle,n.,P3-C1,"ubwâkwahá, ivyâkwahá, 148, (cfr -âha 15), poils sous l'aisselle. Var. ubucâkwahá. Prov. 1564.",False,ubwâkwahá,ivyâkwahá,"ubwâkwahá, ivyâkwahá, 148, (cfr -âha 15), poils sous l'aisselle. Var. ubucâkwahá. Prov. 1564."
78,78,urwaha,1l,,gros ennuis.,adj,P3-C1,"urwaha, 1l, (cfr -âhb-), gros ennuis.",False,urwaha,1l,"urwaha, 1l, (cfr -âhb-), gros ennuis."
94,94,Jondamaniyáhire,la,,sobriquet du mari dont la femme porte les culottes,n.,P3-C2,"Jondamaniyáhire, la, (-jondam- penche (toi), -âhhir- cueillir: je vais cueillir moi-même), sobriquet du mari dont la femme porte les culottes",False,Jondamaniyáhire,la,"Jondamaniyáhire, la, (-jondam- penche (toi), -âhhir- cueillir: je vais cueillir moi-même), sobriquet du mari dont la femme porte les culottes"
136,136,kwìyakira,riye,,accoucher sans être aidée,v.,P5-C1,"kwìyakira, riye, (cfr -akïr-), accoucher sans être aidée. || Fig. Kuvyâra ukîyakīra, être heu reux, avotr de la chance. Syn. guhîrwa.",False,kwìyakira,riye,"kwìyakira, riye, (cfr -akïr-), accoucher sans être aidée. || Fig. Kuvyâra ukîyakīra, être heu reux, avotr de la chance. Syn. guhîrwa."
152,152,kwakura,ye,,"appeler, faire venir (chez les nobles); appeler discrètement de la main. Inviter à boire.",v.,P5-C2,"kwakura, ye, (cfr -ak- demander), appeler, faire venir (chez les nobles); appeler discrètement de la main. Inviter à boire. Syn. kurêngutsa. || Iy unsindira sínakwakuye, ne prennuie pas, je ne tai pas provoqué.",False,kwakura,ye,"kwakura, ye, (cfr -ak- demander), appeler, faire venir (chez les nobles); appeler discrètement de la main. Inviter à boire. Syn. kurêngutsa. || Iy unsindira sínakwakuye, ne prennuie pas, je ne tai pas provoqué."
162,162,Nyawămaho,la,,Syn. Imâna,n.,P6-C1,"Nyawămaho, la, (cfr -âmâho), Syn. Imâna.",False,Nyawămaho,la,"Nyawămaho, la, (cfr -âmâho), Syn. Imâna."
217,217,ame,V.,,Me.,v.,P8-C1,"ame, V. Me.",False,ame,V.,"ame, V. Me."
218,218,ubwâmé,i4,,"ce qui existe toujours, permanent",n.,P8-C1,"ubwâmé, i4, (cfr -âm-), ce qui existe toujours, permanent. Ubwămi buturuka ku bwâmé, la royauté prend ses racines dans la stabilité,",False,ubwâmé,i4,"ubwâmé, i4, (cfr -âm-), ce qui existe toujours, permanent. Ubwămi buturuka ku bwâmé, la royauté prend ses racines dans la stabilité,"
224,224,rwămi,lia,,royallement,adv.,P8-C2,"rwămi, lia, (cfr 1), royallement. Agenda rwămi, i a un port royal. Syn. gushógomanga. Kwambara rwămi, şs'kabiller richement. Gushariza rwămi inzu, orner sa maison avec faste,",False,rwămi,lia,"rwămi, lia, (cfr 1), royallement. Agenda rwămi, i a un port royal. Syn. gushógomanga. Kwambara rwămi, şs'kabiller richement. Gushariza rwămi inzu, orner sa maison avec faste,"
245,245,inyámo,ipus.,9,action de rester à tel endroti,n.,P9-C1,"inyámo, 9, (ipus.), (cfr -âm-), action de rester à tel endroti. || Inyámo yumuntu, caractère une personne, son naturel, son tempérament.",False,inyámo,ipus.,"inyámo, 9, (ipus.), (cfr -âm-), action de rester à tel endroti. || Inyámo yumuntu, caractère une personne, son naturel, son tempérament."
257,257,urwamūzo,inzāmūzo,1110,"praduction, récolte, fruit de la culture.",n.,P9-C2,"urwamūzo, inzāmūzo, 1110, (cfr -âmūr-), praduction, récolte, fruit de la culture. || Par ext. bananes qui produisent la bière; cette bière.",False,urwamūzo,inzāmūzo,"urwamūzo, inzāmūzo, 1110, (cfr -âmūr-), praduction, récolte, fruit de la culture. || Par ext. bananes qui produisent la bière; cette bière."
269,269,bāmwâna,24,,terme de référence désignant les beaux-parents entre eux,n.,P10-C1,"bāmwâna, 24, (cfr -âna 1), terme de référence désignant les beaux-parents entre eux. Syn. cămbu. Sé aguma hanzé, gushika bamwěëreke nzu arí kwā bāmwâna (cămbu) cânké indâro yîndi bûbatse kubêra abapfâsóni batinjíra, le père reste à l'extérieur, ce gwon lui montre une autre matson, soit chez le compère (les beaux-parents du j.) ou bien (dans) un autre gîte qwon a construit dans ce but (litt. du fait que les beaux-përes wentrent pas). TRoUweoRsTt 136. V. parenté, p. 6ló,",False,bāmwâna,24,"bāmwâna, 24, (cfr -âna 1), terme de référence désignant les beaux-parents entre eux. Syn. cămbu. Sé aguma hanzé, gushika bamwěëreke nzu arí kwā bāmwâna (cămbu) cânké indâro yîndi bûbatse kubêra abapfâsóni batinjíra, le père reste à l'extérieur, ce gwon lui montre une autre matson, soit chez le compère (les beaux-parents du j.) ou bien (dans) un autre gîte qwon a construit dans ce but (litt. du fait que les beaux-përes wentrent pas). TRoUweoRsTt 136. V. parenté, p. 6ló,"
339,339,amânga,é,,"hésitation, doute.",n.,P12-C1,"amânga, é, hésitation, doute. Syn. igonānwa, Bintēye amânga, cela nte fait douter, cela",False,amânga,é,"amânga, é, hésitation, doute. Syn. igonānwa, Bintēye amânga, cela nte fait douter, cela"
342,342,urwănga,inz,,saveur.,n.,P12-C1,"urwănga, inz, (cfr -ănga 7), saveur. |i Bouillie, panade.",False,urwănga,inz,"urwănga, inz, (cfr -ănga 7), saveur. |i Bouillie, panade."
359,359,icango,ivyango,718,plante dont le fruit sert à étriller. Sorte d'éponge végétale.,n.,P12-C2,"icango, ivyango, 718, (cfr -anguh-), plante dont le fruit sert à étriller. Sorte d'éponge végétale.",False,icango,ivyango,"icango, ivyango, 718, (cfr -anguh-), plante dont le fruit sert à étriller. Sorte d'éponge végétale."
377,377,cīnyamwanira,vyanyamwanira,,épervier,n.,P13-C1,"cīnyamwanira, vyanyamwanira, Tala, épervier. Var. ikinyamwanira.",False,cīnyamwanira,vyanyamwanira,"cīnyamwanira, vyanyamwanira, Tala, épervier. Var. ikinyamwanira."
402,402,urwano,1f,,partie du corps située sous la nugue au-dessus de la vertèbre prominente.,n.,P14-C1,"urwano, 1f, partie du corps située sous la nugue au-dessus de la vertèbre prominente. |i Gucá urwano umuntu, achever un mourant. Choquer par ses paroles des parents qui viennent de perdre leur enfant, || Par ext. rebord du peplum; col, revers. i",False,urwano,1f,"urwano, 1f, partie du corps située sous la nugue au-dessus de la vertèbre prominente. |i Gucá urwano umuntu, achever un mourant. Choquer par ses paroles des parents qui viennent de perdre leur enfant, || Par ext. rebord du peplum; col, revers. i"
412,412,urwănwa,l1,1,poil de barbe,n.,P14-C1,"urwănwa, l1, (cfr -ân--), poil de barbe. |i Urwanwa rwumuhoro, partie recourbée à lextrëmité d'une serpette.",False,urwănwa,l1,"urwănwa, l1, (cfr -ân--), poil de barbe. |i Urwanwa rwumuhoro, partie recourbée à lextrëmité d'une serpette."
418,418,umwănya,imyžnya,3ij4,"espace, lieu, endroit.",n.,P14-C2,"umwănya, imyžnya, 3ij4, (cfr -ân-), espace, lieu, endroit. Kuja mu mwănya, séparer des bagareurs. || Morceaux d'une bête dépecée, Gutônda imyanya, ranger les parties Fune bête dépecée. | Temps, espace de temps, laps de temps. Umwănya urí mu gushika, vers cette époque, au temps prévu. Ngo nta mwănya afisé, il te fait dire gwil nwa pas le temps. Barashwââbira imiti y'ûbwôko bakayitápfuna, mu myănya yintoke amabuye ivymwaaa bibozé; umwănya umurwâyi bāmucăiye ururásāgo háno ababára, baramúhenda ngo nābumírize, bakamukubita ivy umupfûmu afisé bakamwereka ngo ni vyo nyéne bāmukŭyėmwo, ils ramassent çà ei là des simples divers et ils les mââchonnent; (ils ont) entre leurs doigts des cailloux ou des fruits pourris; lorsque lon fait une incision du malade là où il souffre, on le trompe, on lui dit de fermer les yeux et on le frappe avec ce que le guérisseur a (en mains), ensuite on le lui montre en disant que c'est cela gwon lui a tiré du corps. || Néol. temps de la conjugaison. Shira irivúga mu mivúgwa yōse, mu myanya yōse nó mu-mpindaguro zōse, mets ce verbe à tous les modes, à fous les temps et à toutes les perSOnneEs.",False,umwănya,imyžnya,"umwănya, imyžnya, 3ij4, (cfr -ân-), espace, lieu, endroit. Kuja mu mwănya, séparer des bagareurs. || Morceaux d'une bête dépecée, Gutônda imyanya, ranger les parties Fune bête dépecée. | Temps, espace de temps, laps de temps. Umwănya urí mu gushika, vers cette époque, au temps prévu. Ngo nta mwănya afisé, il te fait dire gwil nwa pas le temps. Barashwââbira imiti y'ûbwôko bakayitápfuna, mu myănya yintoke amabuye ivymwaaa bibozé; umwănya umurwâyi bāmucăiye ururásāgo háno ababára, baramúhenda ngo nābumírize, bakamukubita ivy umupfûmu afisé bakamwereka ngo ni vyo nyéne bāmukŭyėmwo, ils ramassent çà ei là des simples divers et ils les mââchonnent; (ils ont) entre leurs doigts des cailloux ou des fruits pourris; lorsque lon fait une incision du malade là où il souffre, on le trompe, on lui dit de fermer les yeux et on le frappe avec ce que le guérisseur a (en mains), ensuite on le lui montre en disant que c'est cela gwon lui a tiré du corps. || Néol. temps de la conjugaison. Shira irivúga mu mivúgwa yōse, mu myanya yōse nó mu-mpindaguro zōse, mets ce verbe à tous les modes, à fous les temps et à toutes les perSOnneEs."
419,419,icănya,ivyănya,7|8,pâturage réservé aux vaches princières.,n.,P14-C2,"icănya, ivyănya, 7|8, (cfr -ân--), (poét.), pâturage réservé aux vaches princières, TROUWBORST 3i.",False,icănya,ivyănya,"icănya, ivyănya, 7|8, (cfr -ân--), (poét.), pâturage réservé aux vaches princières, TROUWBORST 3i."
421,421,ivyaænyagutānwa,v.,,taānwa,v.,P14-C2,"ivyaænyagutānwa, v. -taānwa.",False,ivyaænyagutānwa,v.,"ivyaænyagutānwa, v. -taānwa."
473,473,icārūza,ivyarŪūza,7|8,"dénicheur, prédateur.",n.,P16-C1,"icārūza, ivyarŪūza, 7|8, (cfr -arūz-), dénicheur, prédateur.",False,icārūza,ivyarŪza,"icārūza, ivyarŪūza, 7|8, (cfr -arūz-), dénicheur, prédateur."
474,474,akārūza,utwarūza,,plante rampante qui S'attache aux habits,n.,P16-C1,"akārūza, utwarūza, (cfr -arūz-), plante rampante qui S'attache aux habits (et que l'on traine avec soj, quì vous suit),",False,akārūza,utwarūza,"akārūza, utwarūza, (cfr -arūz-), plante rampante qui S'attache aux habits (et que l'on traine avec soj, quì vous suit),"
505,505,icâsayá,Vv.,,,,P16-C2,"icâsayá, Vv. -sayáâ.",False,icâsayá,Vv.,"icâsayá, Vv. -sayáâ."
506,506,urwâsayá,v.,,,v.,P16-C2,"urwâsayá, v. -sayâ,",False,urwâsayá,v.,"urwâsayá, v. -sayâ,"
507,507,ivyâshkará,v.,,,v.,P16-C2,"ivyâshkará, v. -shará.",False,ivyâshkará,v.,"ivyâshkará, v. -shará."
508,508,ashi,(inv.),,"intericction marquant la déception, l'épuisement, ouf!",n.,P16-C2,"ashi, (inv.), intericction marquant la déception, l'épuisement, ouf! Var. ashe. Ashe icònkiza urwâmo rwabantu nkāma ninumiye, ahl, jaurais souvent votlu m ĉtre tu, et ne pas trouvé au milieu du bruit de la foule.",False,ashi,(inv.),"ashi, (inv.), intericction marquant la déception, l'épuisement, ouf! Var. ashe. Ashe icònkiza urwâmo rwabantu nkāma ninumiye, ahl, jaurais souvent votlu m ĉtre tu, et ne pas trouvé au milieu du bruit de la foule."
535,535,ubwâto,amâto,146,"auge; embarcation, barque, pirogue, bateau",n.,P17-C1,"ubwâto, amâto, 146, (cfr -ât-), auge; embarcation, barque, pirogue, bateau, Ubwâto babubāza mu giti kinini, c'est dans un grand arbre qu'on taille l'auge. Prov. 2314-2315,",False,ubwâto,amâto,"ubwâto, amâto, 146, (cfr -ât-), auge; embarcation, barque, pirogue, bateau, Ubwâto babubāza mu giti kinini, c'est dans un grand arbre qu'on taille l'auge. Prov. 2314-2315,"
554,554,Cavu,la,,"sobriquet: laideron, souiilon.",n.,P18-C1,"Cavu, la, (cfr -āvu 7), sobriquet: laideron, souiilon.",False,Cavu,la,"Cavu, la, (cfr -āvu 7), sobriquet: laideron, souiilon."
555,555,urwâvumbá,v.,,vumbá.,v.,P18-C1,"urwâvumbá, v. -vumbá.",False,urwâvumbá,v.,"urwâvumbá, v. -vumbá."
562,562,urwâyagá,li,,"jeter le trouble, troubler",v.,P18-C1,"urwâyagá, li, (cfr -ay-) Gutêra urwâyagá, jeter le trouble, troubler.",False,urwâyagá,li,"urwâyagá, li, (cfr -ay-) Gutêra urwâyagá, jeter le trouble, troubler."
569,569,umwayi,abayi,112,"prodigue, gaspilleur",adj.,P18-C2,"umwayi, abayi, 112, (cfr -ay-), prodigue, gaspilleur. Syn. umutâgaguzi.",False,umwayi,abayi,"umwayi, abayi, 112, (cfr -ay-), prodigue, gaspilleur. Syn. umutâgaguzi."
609,609,ikinyarubabi,ibinyarubabi,7|8,plante aux tubercules comestibles (sans autres spécifications).,n.,P20-C1,"ikinyarubabi, ibinyarubabi, 7|8, (cfr -babi 11), plante aux tubercules comestibles (sans autres spécifications). Syn. igisyâré.",False,ikinyarubabi,ibinyarubabi,"ikinyarubabi, ibinyarubabi, 7|8, (cfr -babi 11), plante aux tubercules comestibles (sans autres spécifications). Syn. igisyâré."
621,621,bacó,v.,,ôbo,v.,P20-C2,"bacó, v. -ôbo.",False,bacó,v.,"bacó, v. -ôbo."
636,636,umubágabága,imi,3l4,Racines de cette plante à feuilles amères servant de poison pour la pêche.,n.,P21-C1,"umubágabága, imi, 3l4, Cassia didymobatrya L. — Les racines de cette plante à feuilles amères qui servent de poison pour la pêche sont légèrement écrasées dans un mortier de boils et répandues sur Peau préalablement barrée. Les poissons étourdis montent à la surface. Les feuilles cuites dans des feuilles de bananier, à raison d'une poignée pour trois verres, sont utilisées pour faire tomber la fièvre et servent aussi de vomitif, La plante entière serait employée contre les verminoses infantiles. Elle a en outre un rôle ooornemental.",False,umubágabága,imi,"umubágabága, imi, 3l4, Cassia didymobatrya L. — Les racines de cette plante à feuilles amères qui servent de poison pour la pêche sont légèrement écrasées dans un mortier de boils et répandues sur Peau préalablement barrée. Les poissons étourdis montent à la surface. Les feuilles cuites dans des feuilles de bananier, à raison d'une poignée pour trois verres, sont utilisées pour faire tomber la fièvre et servent aussi de vomitif, La plante entière serait employée contre les verminoses infantiles. Elle a en outre un rôle ooornemental."
675,675,ibâkwe,imi,3l4,"Odeur pénétrante, forte.",n.,P21-C2,"ibâkwe, 5, odeur pénétrante, forte. || Souple, rāpidde, subtil. umubamba, imi, 3l4, (cfr -bamb-), (poét.), guerrier. umubamba, imi, 3J4, (cfr -bamb-), cucurbitacée, plante rampante à fruit très amer, dont on utilise le fruit comme calebasse, baratte, ete.",False,ibâkwe,imi,"ibâkwe, 5, odeur pénétrante, forte. || Souple, rāpidde, subtil. umubamba, imi, 3l4, (cfr -bamb-), (poét.), guerrier. umubamba, imi, 3J4, (cfr -bamb-), cucurbitacée, plante rampante à fruit très amer, dont on utilise le fruit comme calebasse, baratte, ete."
677,677,kubamba,vye,,tenir tendu au moyen de chevilles.,v.,P22-C1,"kubamba, vye, tenir tendu au moyen de chevilles. Crucifier. Martyriser. Uri uwùŭndi ati murarupamba nêzá arího, lautre tui répond : mais il s'agit de la tendre au moyen de chevilles. ji Etre violent. Syn. gukâra. Urugămba rurabamvye, la bataille fait rage. || Etre forte (boisson). kiri háno kirabamba, c'est une boisson forte. || Barrer le passage. ngwe yabamvye mu-nzira, le léopard a barré le chemin, Prov. 1573.",False,kubamba,vye,"kubamba, vye, tenir tendu au moyen de chevilles. Crucifier. Martyriser. Uri uwùŭndi ati murarupamba nêzá arího, lautre tui répond : mais il s'agit de la tendre au moyen de chevilles. ji Etre violent. Syn. gukâra. Urugămba rurabamvye, la bataille fait rage. || Etre forte (boisson). kiri háno kirabamba, c'est une boisson forte. || Barrer le passage. ngwe yabamvye mu-nzira, le léopard a barré le chemin, Prov. 1573."
697,697,urumambo,imambo,9|10,"cheville, piquet, pieu.",n.,P22-C1,"urumambo, imambo, 9|10, (cfr -bamb-), cheville, piquet, pieu. Gros clou.",False,urumambo,imambo,"urumambo, imambo, 9|10, (cfr -bamb-), cheville, piquet, pieu. Gros clou."
698,698,Rubambo,ia,,"nom dun des initiés qui d’après la légende, se serait suicidé sur le corps de Kiranga.",n.,P22-C1,"Rubambo, ia, (préf. patr. ru-), nom dun des initiés qui d’après la légende, se serait suicidé sur le corps de Kiranga (q. v.) I est considéré comme l'esprit protecteur des devins. TROUWEORST 158-159,",False,Rubambo,ia,"Rubambo, ia, (préf. patr. ru-), nom dun des initiés qui d’après la légende, se serait suicidé sur le corps de Kiranga (q. v.) I est considéré comme l'esprit protecteur des devins. TROUWEORST 158-159,"
706,706,umuayêbămfu,aba,12,gaucher,n.,P22-C2,"umuayêbămfu, aba, 12, (cfr -bămfu, 5), gaucher.",False,umuayêbămfu,aba,"umuayêbămfu, aba, 12, (cfr -bămfu, 5), gaucher."
732,732,ikibăndu,ibi,7|8,"objet décotlé, détaché",n.,P23-C1,"ikibăndu, ibi, 7|8, (cfr -bandūk-), objet décotlé, détaché.",False,ikibăndu,ibi,"ikibăndu, ibi, 7|8, (cfr -bandūk-), objet décotlé, détaché."
736,736,ikibăndūre,ibi,78,exalté,adj.,P23-C1,"ikibăndūre, ibi, 78, (cfr -bandūr-), exalté, Prov, 752.",False,ikibăndūre,ibi,"ikibăndūre, ibi, 78, (cfr -bandūr-), exalté, Prov, 752."
777,777,ikibango,ibi,7l8,copeau,n.,P24-C2,"ikibango, ibi, 7l8, (cfr -bang-), copeau. Syn. ikibâzūrwá.",False,ikibango,ibi,"ikibango, ibi, 7l8, (cfr -bang-), copeau. Syn. ikibâzūrwá."
789,789,umubangūro,imi,,planie non identifiée; médicalement pour femme enceinte,n.,P25-C1,"umubangūro, imi, (cfr -bangūr-), planie non identifiée; médicalement pour femme enceiNte.",False,umubangūro,imi,"umubangūro, imi, (cfr -bangūr-), planie non identifiée; médicalement pour femme enceiNte."
796,796,umubăngwa,imi,,être sur pied de guerre,v.,P25-C1,"umubăngwa, imi, (cfr -bang-), arc. Syn. umuheto. Kurâza umutíma ku mubăngwa, être sur pied de guerre. (V. -YÂÀZA.)",False,umubăngwa,imi,"umubăngwa, imi, (cfr -bang-), arc. Syn. umuheto. Kurâza umutíma ku mubăngwa, être sur pied de guerre. (V. -YÂÀZA.)"
802,802,kubânirwa,we,,avoir comme voisin.,v.,P25-C1,"kubânirwa, we, (cfr -bâânir-), avoir comme voisin. Kubânirwa nâbí, nêzá, avoir de mauvais, de bons voisins.",False,kubânirwa,we,"kubânirwa, we, (cfr -bâânir-), avoir comme voisin. Kubânirwa nâbí, nêzá, avoir de mauvais, de bons voisins."
804,804,umubano,imi,3|4,plante grimpante sauvage dont les fruits sont comestibles.,n.,P25-C1,"umubano, imi, 3|4, plante grimpante sauvage dont les fruits sont comestibles. || Carquois.",False,umubano,imi,"umubano, imi, 3|4, plante grimpante sauvage dont les fruits sont comestibles. || Carquois."
811,811,urubănza,imēnza,114)10,jugement,n.,P25-C2,"urubănza, imēnza, 114)10, jugement. Procès. Palabre, Kubá mu rubănza, en procès, en palabre. Guc urubanza, trancher une palabre, juger une affaire. Urubănza rwā ngôndegônde, jugement inique, jugement payé. || Gucá imănza (fam.), se mêler dont on n'est pas responsable. || Affaire. Difficulté, Kugira urubănza, avoir des difficultés. Ikiríi háno r'urubănza, c'est toute une affaire, || Travail, préoccupation. Kubá mu rubănza, être fort occupé. ( Voyage. Kumara urubănza, partir en voyage, rendre visite au loin. || Ivyo biri purăndi rubănnza, cela a une autre destination. Ntā rubănza, i n'y a aucun appel possibile. Urubăanza rwó mu muryango, conseil de famille présidé par Samúragwá et qui tente ďd'applanir les différends. Au cas où les plaignants négligeraient de l'avertir, d’avoir recours à ses bons olfices, le chef de famulie, Samúragwá, avait le droit de réclamer, auprès du tribunal de colline, une sanction contre le demandeur. Lorsgu’il s'agissait de concilier les intérêts dee deux familles différentes, le demandeur pouvait s'adresser directement . au conseil de colline sans passer par le chef de famille. Urubăanza rwó ku mugina, (litt, la palabre qui (est tranchée) sur la termitière). L'arbitrage familial constituait une procédure officieuse de concilation., Le tribunal du tertre, lui, composé des notables représentant les différentes familhes habitant l'unité de base qu'était la colline, se réunissait à l'endroit oùt avait lieu la contestation. Si les deux parties étaient du même ressort, le tribunal de colline était qualifié pour juger. Les affaires dont pouvaient les juges du tertre, de la termitière, étaient les contestations mineures: affaires de famille, injures, querelles, coups et blessures, vols. de vivres, déprédationnns causées par le bétail dans les champs, dommages causés aux cases, dettes, remboursements, prêts, dépôts, etc. Urubănza rwó ku cârihó, procès tranché par le sous-chef, Le tribunal du sous-chef connaissait des affaires foncières, celles concernant le petit bétail. Les affaires sans gravité ne pouvaient pas dépasser le tribunai du sous-chef..Si un Tutsi de bonne famille avait une palabre — pour autant que la valeur du litige dépassât une chèvre — il s'adressait au tribunal du chef. Urubănza rwó kuri sêntáre, palabre, procès soumis à la juridiction du chef de province. On y tranchait les affaires importantes telles gue: homicides, vols de vaches, restitution de gages matrimoniaux, II fallait un intermédiaire Qui introduise l'affaire auprés du chef. Les frais étaient souvent plus élevés que la valeur de l'objet du Htige (vache par exXx.): on devait, comme frais de justice ingoróre, deux vaches, un taurillon et des cruches de bière. Etaient jugés par sêntáre: les sous-chefs, Ies Tutsi riches ou de très bonne famille. Urubănza rwó ku rurimbi, affaire soumise â la cour du roi Toutes les contestations pouvaient être portées devant le tribunal suprême. Le roi présidait le tribunal., Les courtisans servaient d'assesseurs. La compétence de ce tribunal s'étendait au Burundi tout entier. Les grandes familles, les gâánwa en particulier, 25 ne pouvaient être jugées que par le tribunal royal. Il arrivait bien souvent que le roi tranche sans faire comparafÎtre un inculpé de haut lignage si le demandeur lui était inférieur. Il lui faisait ensuite ses reproches en particulier. Il existait une procédure spéciale pour juger les princes de sang, gânwa, excepté lorsqu'il s'agissait de rébellion. Prov. 1367, 1628, 2149, 2370, 3336, 3340, 3384, 3787.",False,urubănza,imēnza,"urubănza, imēnza, 114)10, jugement. Procès. Palabre, Kubá mu rubănza, en procès, en palabre. Guc urubanza, trancher une palabre, juger une affaire. Urubănza rwā ngôndegônde, jugement inique, jugement payé. || Gucá imănza (fam.), se mêler dont on n'est pas responsable. || Affaire. Difficulté, Kugira urubănza, avoir des difficultés. Ikiríi háno r'urubănza, c'est toute une affaire, || Travail, préoccupation. Kubá mu rubănza, être fort occupé. ( Voyage. Kumara urubănza, partir en voyage, rendre visite au loin. || Ivyo biri purăndi rubănnza, cela a une autre destination. Ntā rubănza, i n'y a aucun appel possibile. Urubăanza rwó mu muryango, conseil de famille présidé par Samúragwá et qui tente ďd'applanir les différends. Au cas où les plaignants négligeraient de l'avertir, d’avoir recours à ses bons olfices, le chef de famulie, Samúragwá, avait le droit de réclamer, auprès du tribunal de colline, une sanction contre le demandeur. Lorsgu’il s'agissait de concilier les intérêts dee deux familles différentes, le demandeur pouvait s'adresser directement . au conseil de colline sans passer par le chef de famille. Urubăanza rwó ku mugina, (litt, la palabre qui (est tranchée) sur la termitière). L'arbitrage familial constituait une procédure officieuse de concilation., Le tribunal du tertre, lui, composé des notables représentant les différentes familhes habitant l'unité de base qu'était la colline, se réunissait à l'endroit oùt avait lieu la contestation. Si les deux parties étaient du même ressort, le tribunal de colline était qualifié pour juger. Les affaires dont pouvaient les juges du tertre, de la termitière, étaient les contestations mineures: affaires de famille, injures, querelles, coups et blessures, vols. de vivres, déprédationnns causées par le bétail dans les champs, dommages causés aux cases, dettes, remboursements, prêts, dépôts, etc. Urubănza rwó ku cârihó, procès tranché par le sous-chef, Le tribunal du sous-chef connaissait des affaires foncières, celles concernant le petit bétail. Les affaires sans gravité ne pouvaient pas dépasser le tribunai du sous-chef..Si un Tutsi de bonne famille avait une palabre — pour autant que la valeur du litige dépassât une chèvre — il s'adressait au tribunal du chef. Urubănza rwó kuri sêntáre, palabre, procès soumis à la juridiction du chef de province. On y tranchait les affaires importantes telles gue: homicides, vols de vaches, restitution de gages matrimoniaux, II fallait un intermédiaire Qui introduise l'affaire auprés du chef. Les frais étaient souvent plus élevés que la valeur de l'objet du Htige (vache par exXx.): on devait, comme frais de justice ingoróre, deux vaches, un taurillon et des cruches de bière. Etaient jugés par sêntáre: les sous-chefs, Ies Tutsi riches ou de très bonne famille. Urubănza rwó ku rurimbi, affaire soumise â la cour du roi Toutes les contestations pouvaient être portées devant le tribunal suprême. Le roi présidait le tribunal., Les courtisans servaient d'assesseurs. La compétence de ce tribunal s'étendait au Burundi tout entier. Les grandes familles, les gâánwa en particulier, 25 ne pouvaient être jugées que par le tribunal royal. Il arrivait bien souvent que le roi tranche sans faire comparafÎtre un inculpé de haut lignage si le demandeur lui était inférieur. Il lui faisait ensuite ses reproches en particulier. Il existait une procédure spéciale pour juger les princes de sang, gânwa, excepté lorsqu'il s'agissait de rébellion. Prov. 1367, 1628, 2149, 2370, 3336, 3340, 3384, 3787."
813,813,umucârubănza,abacâmănza,2,"couper, trancher, palabre",n.,P26-C1,"umucârubănza, abacâmănza, l|2, (cí- couper, trancher, -bănza 910 palabre), arbitre, magisirat, juge.",False,umucârubănza,abacâmănza,"umucârubănza, abacâmănza, l|2, (cí- couper, trancher, -bănza 910 palabre), arbitre, magisirat, juge."
821,821,bhara,barabara,,particule exclamative; cri imitatif,n.,P26-C1,"bhara, barabara, (inv.), particule exclamative; cri imitatif gue poussent les vachers pour chasser les garde-bœæufs qui débarrassent le bétail de ses tigues. i",False,bhara,barabara,"bhara, barabara, (inv.), particule exclamative; cri imitatif gue poussent les vachers pour chasser les garde-bœæufs qui débarrassent le bétail de ses tigues. i"
828,828,ibarabara,ama,56,Syn. umuháruro.,n.,P26-C2,"ibarabara, ama, 56, (sw.), Syn. umuháruro.,",False,ibarabara,ama,"ibarabara, ama, 56, (sw.), Syn. umuháruro.,"
850,850,ibárazá,ama,5|6,"véranda, galerie",n.,P27-C1,"ibárazá, ama, 5|6, (sw.), véranda, galerie.",False,ibárazá,ama,"ibárazá, ama, 5|6, (sw.), véranda, galerie."
869,869,umubarīro,imi,314,couture.,n.,P27-C2,"umubarīro, imi, 314, (cfr -barīr-), couture.",False,umubarīro,imi,"umubarīro, imi, 314, (cfr -barīr-), couture."
