,GLOBAL_INDEX,WORD,AFFIX,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY,FAILED,WORD_CLEAN,AFFIX_CLEAN,FULL_ENTRY_CLEAN
2257,2257,ikidábwe,ibi,7|8,"phraseur, vyerbeux, qui fait du blabla, celui ou celle qui dit des balivernes",n.,P63-C2,"ikidábwe, ibi, 7|8, (cfr -dábw-), phraseur, vyerbeux, qui fait du blabla, celui ou celle qui dit des balivernes.",False,ikidábwe,ibi,"ikidábwe, ibi, 7|8, (cfr -dábw-), phraseur, vyerbeux, qui fait du blabla, celui ou celle qui dit des balivernes."
2258,2258,urudaca,v.,,v.,v.,P63-C2,"urudaca, v. -ca.",False,urudaca,v.,"urudaca, v. -ca."
2262,2262,kudádama,mye,,"marcher la tête levée, garder le torse droit; faire front.",v.,P63-C2,"kudádama, mye, marcher la tête levée, garder le torse droit; faire front. Fig. oser, essayer, expérimenter, faire l'expérience de. V. -rárama.",False,kudádama,mye,"kudádama, mye, marcher la tête levée, garder le torse droit; faire front. Fig. oser, essayer, expérimenter, faire l'expérience de. V. -rárama."
2274,2274,urudádi,indaadi,11j10,syllabe.,n.,P64-C1,"urudádi, indaadi, 11j10, (cfr -dád-), (néol.), syllabe.",False,urudádi,indadi,"urudádi, indaadi, 11j10, (cfr -dád-), (néol.), syllabe."
2278,2278,umudāga,imi,3l4,"motte de terre glaise, pétrie et prête à être employée.",n.,P64-C1,"umudāga, imi, 3l4, motte de terre glaise, pétrie et prête à être employée (par les potiers, les briqguetiers).",False,umudāga,imi,"umudāga, imi, 3l4, motte de terre glaise, pétrie et prête à être employée (par les potiers, les briqguetiers)."
2323,2323,idárajá,ama,,marche d'un escalier.,n.,P65-C2,"idárajá, ama, (sw.), marche d'un escalier. Syn. intâmbuko. Echelon. Syn. umutâmbiko. indarama, v, -raráma. indarămbwe, v. -rarămbwe. indāranabarimiro, v. -rimiro. kuddáranganya, -nije, (cfr. -dâár-), solidifier cnsemble, consolider en équipe. Syn. kudáriza, Kudáranganya amâso, regarder partout, fixer les yeux sur tout, Var. kuráranganya. indârângávye, V. -gâvye. akadarāra, utu, 12|13, (à rapprocher de -darasi 9), appelé aussi ubudarāra, 14, instrument formé de plusjeurs baguettes articulées à la manière d'un pantographe et qui permet au devin de désigner les coupables ou ceux qui sont — volontairement ou non — la cause des malheurs dun groupe. Swn. ubwendwe. Var. ubudarāza. M.R.A.C. 41.868. kudáraranga, -nze, (fam.), construire, bâtir. Syn. kwûbaka. || Tresser. Syn. kujisha. kudáraranganya, -nije, (cfr -dárarang-), jouer de la cithare avec habileté. « Umunyââmvônjâ bati ivyo w'ibiki ukutá ? Ati nìntinyamuyonga intêragirabúkkó, inanga ya Rubaāra ŭyivuza ayibanda akâra kandi akayíddararanganya, on demande à un individu dont les pieds sont couverts de chiques : que frottes-tu donc par terre? Ce sont, répondit-il, les ennemis du brûûlis, les amis des guérets, les semeurs de vallons, la harpe de Rubara et celui qui la pince saute d'une corde à lautre. » Malicieuse description d'un négligent envahi par les chiques, dont les pieds démangent, lui font mal et obligent à marcher en sautillant.",False,idárajá,ama,"idárajá, ama, (sw.), marche d'un escalier. Syn. intâmbuko. Echelon. Syn. umutâmbiko. indarama, v, -raráma. indarămbwe, v. -rarămbwe. indāranabarimiro, v. -rimiro. kuddáranganya, -nije, (cfr. -dâár-), solidifier cnsemble, consolider en équipe. Syn. kudáriza, Kudáranganya amâso, regarder partout, fixer les yeux sur tout, Var. kuráranganya. indârângávye, V. -gâvye. akadarāra, utu, 12|13, (à rapprocher de -darasi 9), appelé aussi ubudarāra, 14, instrument formé de plusjeurs baguettes articulées à la manière d'un pantographe et qui permet au devin de désigner les coupables ou ceux qui sont — volontairement ou non — la cause des malheurs dun groupe. Swn. ubwendwe. Var. ubudarāza. M.R.A.C. 41.868. kudáraranga, -nze, (fam.), construire, bâtir. Syn. kwûbaka. || Tresser. Syn. kujisha. kudáraranganya, -nije, (cfr -dárarang-), jouer de la cithare avec habileté. « Umunyââmvônjâ bati ivyo w'ibiki ukutá ? Ati nìntinyamuyonga intêragirabúkkó, inanga ya Rubaāra ŭyivuza ayibanda akâra kandi akayíddararanganya, on demande à un individu dont les pieds sont couverts de chiques : que frottes-tu donc par terre? Ce sont, répondit-il, les ennemis du brûûlis, les amis des guérets, les semeurs de vallons, la harpe de Rubara et celui qui la pince saute d'une corde à lautre. » Malicieuse description d'un négligent envahi par les chiques, dont les pieds démangent, lui font mal et obligent à marcher en sautillant."
2341,2341,indaro,V.,,raro.,V.,P66-C1,"indaro, V. -raro.",False,indaro,V.,"indaro, V. -raro."
2342,2342,indâro,v.,,râro.,v.,P66-C1,"indâro, v. -râro.",False,indâro,v.,"indâro, v. -râro."
2351,2351,akadásohóka,sohóka,,sohóka,v.,P66-C1,"akadásohóka, v. sohóka.",False,akadásohóka,sohóka,"akadásohóka, v. sohóka."
2356,2356,umudávanyango,imi,,inappétance,n.,P66-C2,"umudávanyango, imi, (cfr -dávanyang-), inappétance.",False,umudávanyango,imi,"umudávanyango, imi, (cfr -dávanyang-), inappétance."
