GLOBAL_INDEX,NOUN_CLASS,NC_REGEX,FULL_ENTRY,PAGE-COLUMN,POS
2204,12a|13a,12a|13a,"banigincùti, 12a|13a, (-nìig- étrangler, -cùūti 9, 10 parent, ami), petit sac, porte-monnaie placé sous la ceinture, Banigìncùti kātóbotse, ma bourse est percée, Ntiwonkorera murí banigìnctti ?, est-ce que tu ne pourrais pas trouver gach. pour moi dans le fond de ta bourse? — Il permet de se débarrasser des quémandeurs: on ne devine pas où se trouve éventuellement l'argent qu'on désire emprunter et, même si on soupçonne que l'autre n'est pas démuni, nul n'osera s'en prendre directement à sa bourse,",P62-C2,n.
2226,,239,"inda, H10, ventre, abdomen. Ubukûnzi bw'inda, gourmandise. || Vagin du bétail. nda y'amèganga. Bashira umûúti mu-nda yamaganga, on met du remède dans le vagin, || Grossesse, Gutwâra inda, être enceinte. Kubâ ku-nda, être en travail, cprouver les douleurs de lVaccouchement. || Par ext, caractère. Inda mbí, rancunier, Kugira inda nzīzá, avoir bon caractère. Gutêra inda mbi, corrompre qan, retourner gan, changer ses sentinents favorables, en faire un ennemi. Kugira inda igumyé, constipé; (fig.) avoir un caractère fermé, réservé. Kugira yōróshe, ĉire franc, ouvert. Kubá inda nsa, ëtre simple, franc. Inda nyango, caractère franc, expansif. Inda ngàári, gourmand. Kugira inda ndende, étre gourmand. Fig. N'inda n'indēsho, je suis trop petit, je nose pas. Inda ntindi, gui perd tous ses enfants en bas âge. Kuja mu-nda, firer les vers du nez. Loc. cfr -bîka, -têra. Prov. 175, 239, 240, 320, 397, 524, 727, 805, 887, 1043, 1015-1042, 1044, 1050, 1054, 1067, 1138, 1153, 1257, 1278, 1343, 1391, 1549, 156lf, 1612, 1625, 1652, 1653, 1654, 1756, 1802, 1816, 1880, 1952, 1994, 2071, 2073, 2136, 2191, 2193, 2230, 2375, 2440, 2442, 2478, 2642, 2720, 2941, 3031, 3215, 3248, 3271, 3307, 3309, 3373, 3393, 3731, 3767, 3951.",P63-C1,n.
2236,14,14,"ubuzibànda, 14, (-zib- se fermer, -da 9 ventre), cadet, benjamin,",P63-C1,n.
2295,7|8,1bi-,"ikidâmbidâmbi, 1bi-, 718, (cfr -dâmb-), individu querelleur, chicanier, brandon de discorde. Syn. umudâmbikanyi. || THogique, déraisonnable; qui nwa pas le sens commun. || Objet saugrenu, extravagant. Syn. igibiragóōnyo.",P65-C1,n.
2608,,425,"kudúdagura, -ye, (-dúd--), piler du manioc cru ou de léleusine humide. Syn. gusékura. 3, (cfr -dūdur-), farine de manioc. Prov., 425.",P73-C2,n.
2715,,9(10,"kudwega, -ze, serrer, lier fortement, garrotter. Syn. guhâmbira. || Oppresser. Syn. gukanakana, kudurēga. indwi, 9(10, (substantif numéral), sept. Abââna indwi, sept enfanis. Ubw'indwi, la septième fois. Mirongw indwi, soixante-dix. Hătegerezwa inká mirongw indwi n'amasúka mirongew indwi nyéne, íi fallait obligatoirement soixante-dix têtes de bétail et soixante-dix houes. Amajana imdwi, sept cents. Néol. semaine. Syn. umushamvu, uruhúsha. idominika. Indwi ntagatifu, la semaine sainte. Uzōkora gatatu kundwi, tu travailleras trois jours par semaine, karindwi, (rw.), (cfr -dwi 9), sept. Nyandwi, la, (cfr -dwi 9) appellatif du septième enfant. Le septième enfant d’une famille avait comme amulette propre une clochette allongée umuděnde Les variantes de lappelatif Nyandwi sont Rwasa et Nyamizi.",P75-C2,v.
2731,,5,"mukwegakêbo, Ta, (-kweg- attirer, -êbo 12 vannerie où lon sert), Kwîrwaza mukwegakêbo, şe prétendre malade mais avoir malgré tout bon appétit. -iryëcu, 5, espèce de plante rampaānie non déterminée dont les fruits sont comestibles.",P77-C1,Ta
2880,14,14,"ubwênge, 14, intelligence. Kubâ ubwênge, étre intelligent. Gucá ubwênge, avoir l'âge de raison. Ubwênge bwiwé buratúrira, il a une intelligence vive, || Esprit. Uyo măňsi ntúramva mu bwênge, je n'ai pas encore oublié ce jour-là. Gutâ ubwênge, perdre la tête. || Savoir-faire, talent. Ati hagara mīgé ubwênge, attends, je vais me débrouiller, || Ruse, malice. Akagabo Kûbwênge, un malin, rusé, madré. Gucira ubwênge mu-nda, être précoce, sagace, Bwênge buhendá ababóna, un finaud, rusé, capable de rouler les plus malins. Umùúti umezé nk'ûûbwênge, un moyen astucieux. Prov. 416, 471, 602, 1485, 2099, 2233, 2298-2299, 2318-2334, 2336, 2350, 2402.",P81-C1,n.
2896,"5, 9i|10i",5,"iyêngeyênge, 5, 9il10i, (cfr -ênge 14), madré, rusé, Syn. Nyengêri. Prov. 1527-1529.",P81-C2,n.
3016,2,2,"Abëze, 2, (-êr-), bonne famille hutu, Leur nom signifierait «ceux qui ont été lavés de leur crime ».",P85-C1,n.
3132,9|10,9:(10,"ifúkunyi, 9:(10, (cfr -fukuny-), insecte qui ronge, perce le bois; taret (?). | Teigne bovine,",P88-C2,n.
3629,1|2,9i,"umuganúza, aba-, |2, (cfe -ganur-), gardien du tambour Karyenda;, maitre de cérémonie qui conservait le sorgho pour la féte des semailles. Trouwsgorsr 151. iganúza, ama, 9i, colocase. Colocasia antiquorum L. Syn. iteke. aba-, 1|2, (cfr -gán-), «celui à qui on recourt», prince de sang. || Chef. Syn. umushěfu. Báshitse ku wûndi mugánwa kukaba uko, forsqw’ils arrivent chez un autre chef, ils agissent de la même façon. || Par ext. Un honnête homme, un gentleman. Syn. umupfâsóni. Prov. 290, 3981. TRouwsorst 121, 125, 131, 134, 145, i47. igânwa, 5, (cfr -gânwa 1), (poét.), noble dédain. Prov. 1524, l ikigânwa, ibi- 718, (cfr -gan- brasser), banane à bière, toute banane dont on extrait du jus à faire fermenter. Ant. igisahira. ikigânwa, 7, (cfr -gânwa 1), langage de COLF, langue parlée par les princes et caractérisée par le choix de vocables protocolaires, rejevés, recherchés, Au lieu de parler d'inyama viande, le ganwa dira inkëmbwa; amaguru jambes est rempacé par inyundo marteau, kwicara s'asscoir, par kuvyâgira prendre du repos, terme emprunté à la vie du bétail. Ant. ikirğndi gisanzwé. || Mæœurs princières. Syn. bugànwa. rugànwa, 1la, (cfr -gâànwa 1), à la façon d'un prince, princièrement, noblement. Kwîgenza rugánwa, agir comme un chef coutumier, buganwa, l4a, (cfr -gânwa 1), princièrement. Syn. kigânwa. Gutâmbuka bugânwa, se pavaner, 101 agir avec ostentation, || I bugànwa, chez le chef ou le prince. Prov. 2380.",P101-C2,maitre de cérémonie
3852,2,2,"Abagendo, 2, honne famille hutu.",P108-C1,n.
3908,7|8,1vy-,"icígenza, 1vy-, 718, (cfr -îgenz-), vagabond. Syn. umuyérerezi, icangāzi.",P110-C1,n.
3918,1|2,1594,"umugenzi, aba-, |2, (cfr -gend-), ami. Syn. umukânzi, umunywânyi, somàmbīïké, agasêsamútobe, intávāná, umuwcûúzure. Umugeprzi pfàmpfé, un ami intime. Compagnon, compagne.  Epoux, épouse. Umwămi arabáhhhamagara bé n'umugeėnzi wÎwé, fe roi les appela, lui et son épouse., || Formule de politesse, terme respectueux. Ashítse imuhira, umugóre akabáza Bwênge, ati mbëga mugênzi izo nyama wazikūye hêhé ?, lorsgwil arriva à la maison, la femme de Bwenge lui demanda: alors, mon époux, où as-tu trouvé cette viande? Ntūgire umwikomo mugênzi, ne sois pas fâché, honorable ami. Proy. 976, 1594, 2076, 2148, 2442, 2793-2797, 3369, 3854, 3914.",P110-C1,n.
3952,3|4,927,"umugėre, imi- 314, (cfr -gerek-), coup de pied. l Guhéza umugėre, expirer. Syn. gucikāna, Guhinda umugėre, répudier sa femme. Gutêra umugėre, s'en aller, partir. Umugèėre wumugòre uhinda uhéra, (prov.), la femme qui menace de guitter le domicile conjugal reviendra vite sur sa décision. « Tout ce gui est exagéré est sans portée », Loc. cfr -gîgiza. Prov, 927, 1017, 1460, 1565, 1770, (cf. 12: 845), 5, (cfr -gerek-), coup de pied. Gutêra igêėre, agoniser, Syn. gusambagirika, gukúbagana.",P111-C2,n.
3961,,615,"kugerera, -ye, (cfr -ger-), mesurer pour; donner; payer la main-d'œuvre. || Destiner à Syn. kugenera. Nicó kingeréye uturérwa, c'est cela gui garde mes petits enfants en vie. Bati rāba uyu mubïndi n'uruganzu tuzôkugéreramwó. or disait | regarde cette cruche et cette coupe dans laguelle nous te donnerons à boire. Prov. 7, 615.",P112-C1,v.
3980,8,8,"ibigero, 8, (cfr -ger-), taille d'adulte. Kugera mu bigero, grandir, être adulte. 112 mem g iA w mR m Tss wrr eats f: rr m r3 ma t to p aA S, he ea 5 PAsi p e ra m me MA a b-i a m N ingero, 910, (cfr -ger-), mesure. || Salaire. Guçâ ingero, travailler pour sa nourriture, Prov, 94, 1089, 1090-1093, 2080, 3330. umucangero, aba-, 112, (cá couper, -gero 9 salaire) mercenaire; journalier.",P112-C1,n.
4008,9|10,9|f0,"ingètu, 9|f0, aussi urugėtu, in-, 11)40, (cfr -gctur-), gerçures (au talon). Fissure. Var. ingète.",P113-C1,n.
4045,7|8,8,"ikinígàngimbi, ibi- 7, 8, (nig- étrangler, -gímbi 9 marmot), gros morceau de viande.",P114-C1,n.
4208,1|2,1)2,"umutāhàngoma, aba-, 1)2, (-tab- rejoindre son domicile, -goma 9 règne, pouvoir royal), descer dant royal",P118-C2,v.
4420,7|8,7(8,"igisânganíngoyi, ibi-, 7(8, (-sang trouver, -goyi 10 liens), Helichrysum odoratissimum (L.) LESS.",P125-C2,n.
4423,9|10,9110,"ingōza, 9110, (cfr -gcza 11), banane avant maturation. Gutónora ingcza y'igitōke, éplucher une banane verte. V. igitōke.",P125-C2,n.
4550,,14 fradi,"kugúna, -nnye, ourler. -gumuko 3 -vūmūtsi 1, 14 fradi",P128-C2,v.
4556,7|8,1209,"ikigunda, ibi- 7|8, (cfr -gund-), brousse. Syn. ishamba. || Kwîikorera ikigunda, être hirsute. Syn. guhîmbira. Prov. 1150, 1209.",P129-C1,adj.
4591,9i|6,9iló,"igûôngurá, ama-, 9iló, tissu à rayures entrelacées.",P130-C1,n.
4609,3|4,12,"umugunza, imi- 344, (-gunz--) molosse. Proy. 936. l umwigunzi ab-, 12, (cfr -îgung-), solitaire, ermite.",P130-C1,n.
4733,9a|10a,9ali0a,"sarugwe, 9ali0a, (cfr -gwe 9), (poét.), maître léopard. 2, (cfr -gwe 11), bonne famille hutu dont l'ancêtre éponyme s'appelait Rugwe.",P133-C1,n.
4888,2,2,"Abaháma, 2, (descendants de Gaháma), bonne famille hutu.",P139-C1,n.
