GLOBAL_INDEX,NOUN_CLASS,NC_REGEX,FULL_ENTRY,PAGE-COLUMN,POS
9148,7|8,718,"ikimănyu, ibi, 718, (cfr -mânyuk-), morceau, partie, fragment: portion. Syn. igihimba.",P259-C2,n.
9156,5,5,"imara, 5, (cfr -mar-), la fin. Syn. ihéza.",P259-C2,n.
9275,1|2,5,"umushírwàrímenetse, aba- 1|2, (-shírw- être convaincu, -rì 5, œil, -mének-ye crevé, au conjonctif), qui ne comprend qwaprès avoir été puni, qui a besoin dargumenis frappants, entêté. Syn. umushírwàritukuye. imenga, 5, (cfr -meng-), présomption, orgueil, morgue. Prov. 922, kumenga, -nze, déguster une boisson. || Kumenga umuntu, traiter qqn en paria, le mépriser. kumênga, -nze, croire, juger, se douter de; penser, avoir Vimpression. Wōmenga niwe, on croirait que c'est Iui. La variante avec finale o est plus fréquemment employée: Umengo, bamengo, on dirait que; wamêngo, on aurait dit que; wōmengo, on pourrait dire que; ukamengo, et on dirait alors que. Umengo ntā gatíma mugirá, on dirait que vous navez pas beaucoup de courage, Barîfashe nkûkó umengó har'imbého, ils se tiennent comme s'il faisait froid. Igitúma nûkó nyā duhěmbe wamêngo n’'ŭutwó kămanye kuva kávuka, la raison en était que ces petites cornes donnaient Villusion d'avoir toujours été au chiot depuis sa naissance. imenge, bergeronnette blanche. umumenja, aba-, 12, (cfr -menj-), révolté, rebelle; insurgé, insoumis. Syn. umugòme, umugarariji. Abamenja bagakwira ibibára, les révoltés prirent le maquis. || Qui viole la coutume en transgressant un tabou alimentaire. || Infâme; criminel. Syn. umuyòbe, umugesera.",P262-C2,qui
10062,7|8,2358,"ikinòko, ibi- 7|8, (cfr -nokōr-), paupière inférieure abaissée découvrant læœæil: mon Kwêreka ibinòko, mépriser. Gutânga ikinóko, tourner un quémandeur en ridicule. Prov. 56i, 2358.",P284-C2,n.
10154,2a,2a,"běnekintu, 2a, (-cne propriétaire de, -ntu 7 chose), gui ont partie liće. Witondera běnekintu dăwe !, prends garde à ceux qui ont partie liée! Běnekintu barîyànkira bônyéne gusa, seuls ceux qui ont des intérêts communs sont souveni en conflit.",P287-C1,n.
10175,12|13,7(8,"akanūbwe, utu- 12(13 ou ikinūbwe, ibi-, 7(8, (-nūb--), gêne. Malaise. Kuva ahó ntangúriye kubóna mitende ntâ kanūbwe mfisé, depuis que je suis convalescent, je wai plus jamais ressenti de malaise. || Froideur, air maussade.",P287-C2,n.
10273,1|2,1|2,"umunwânwàgizi, aba-, 1|2, (cfr -wânwàgiz-), phraseur; bavard impénitent.",P290-C1,v.
10553,7|8,82,"igishwámwinyo, ibi- 78, (cfr -înyo 4), fourmi rouge À grosses pinces, iryînyo, amênyo, dent. Amurya amênyo kw-itáma, il le mordīt à la joue. Amênyo yîwé umengo n’'inyénycri, ses dents sont brillantes comme les étoiles. Iryînyo ry'inzovu, une défense d'éléphant; ivoire. Impa utwó mboná, (devinette), donne-moi ce que je vois; utubòga ku mênyo, les restes de nourriture entre les dents. Umùûti wâmênyo, objet de moquerie. Kwêza amênyo ku muntu, tourner qqn en ridicule, ridiculiser, brocarder. || Gucîika iryînyo ibigôri vyêze, jouer de malheur. Gukûra amênyo, tomber, se renverser, Gukûra mu mênyo y'abasetsi, défendre qqn contre ceux qui lhumilient. Kwikūra mu mênyo y'abasetsi, éviter de se rendre ridicule. Kwâhisha amênyo, cueillir des simples avec les dents : le guérisseur prend une poignée de sel qu’il met fondre dans sa bouche tout en cherchant trois sortes de plantes : imikěre, iminyinya et umuyŭngubira. Il doit cracher une partie de son sel sur les jeunes feuilles à l'extrémité des branches. Les feuilles touchées par sa salive sont alors arrachées avec les dents; il mâche ces jeunes pousses et regagne le domicile de son patient. Dès qwil arrive sur le seuil, il doit absolument garder les yeux fermés; le malade lui présente son mal et le guérisseur crache son emplâtre sur abcès, la tumeur, linflammation dont souffre son client. La condition du succès est de garder les yeux fermés. V. umuhámuro. — Si, à sa naissance, un bébé a déjà une dent, c'est mauvais présage. Si la première dent est une incisive supérieure, C'est également un présage néfaste. Lorsque lenfant tarde à faire sa dentition, si c'est un garçon, on soupçonnera le père d’avoir des relations adultères; si c'est une fille, on prétendra que la mère a eu des relations hors mariage. Ailleurs, lorsque l'apparition des premières dents se fait attendre, on dira dans le cas dun garçon, que le père a « la cuisse raide», ou, si Cest une fille, que la mère n’a pas beaucoup de tempérament, ce qui revient au même. Actuellement, on prétend que c'est l'enfant dont la tête est trop dure. Dès que la première dent apparaît, on suspend trois ou quatre perles blanches au cou du bébé ou encore on les enfile sur une ficelle qu'on lui mettra autour de la taille. Grincer des dents pour un enfant est un présage néfaste. — Les dents de fauves servent à fabriquer des amulettes. V. RODEGEM, Africa-Tervuren, XVI-1968-2. Prov. 3, 82, 394-403, 904, 1125, 1403, 1531, 1882, 2455, 3940.",P298-C2,n.
10646,,1575,"umunyota, imi- cendre. Barabéza kăndi bakamījīra umunyota hanzé, on répand alors de la cendre au dehors. Mùngu avundurura Rwimbinănka mu munyota, Dieu sauva R. de sa misérable situation. Gucîka umunyota, être réduit en cendres. Néol. Umăsi w’iminyota, te jour des Cendres. Prov. 847, 1575, 3484, 3831, 3950.",P301-C1,v.
10800,6,6,"amōhe, 6, (cfr -obh--), suggestion, conseil, sollicitation. Kuja ku mohe, agir d'après des racontars, Sen laisser conter, être crédule.",P307-C1,n.
10824,5,5,"irângabwôko, 5, (-rang- - proclamer, -ôko 14 espèce), essence (d un être).",P307-C2,n.
10956,3|4,3l4,"umwôsěri, imy-, 3l4, larme, pleur, Var. umwônsěre. Syn. iryôsozi. 11, (cfr -ôsòri 3), chaudes larmes, larmes qui ne cessent de couler, torrent de larmes. iryôsozi, amôsozi, 5l6, (à rapprocher de 3), larme, pleur. V. amarira. Gukorora amôsozi, pleurer, verser des larmes. Kuribagura amôsozi, pleurer à chaudes larmes, laisser couler ses pleurs. Kwîyuha iryôsozi, pleurer abondamment. Prov. 407, 1773. kwota, -se, (cfr -ok--), faire chauffer, se chauffer. Var. (Buyogoma) kwôta. Kwôta umucănwa, se chauffer (au feu, au soleil). Cāna nōté sí câna ntēké, (Loc. prov.), fais du feu pour gue je puisse me chauffer ne veut pas dire fais du feu pour que je cuise la nourriture. L'égoïsme des mâles ne tient pas compte des ennuis de la ménagère. Prov. 193, 248, 1170, (-ir- 2167). kwôtana, -nye, (cfr -ot-), être assis ensemble près du feu, profiter en commun de la même source de chaleur. Prov. 1575. icôtero, ivy-, (cfr -ot-), réchaud. Néol. Brasero. V. icôtezo. ubwôtero, 14, (cfr -ot-), endroit pour se chauffer. kwotēsha, -ēsheje, (cfr -ot-), inviter à se chauffer, laisser qqn se chauffer. Chauffer au moyen de. icôtezo, 7|8, (cfr -ot-), pot en terre cuite évasé de 10 cm de haut employé comme brûle-parfums; si le pied est muni de trois anses, il peut servir dans les cérémonies rituelles. || Néol. encensoir. Prov. 1006. M.R.A.C 41.544. icôto, ivy-, 7|8, (cfr -ôt-), feu allumé pour se chauffer. Terme noble, foyer. Syn. izîko. Gukóma icôto, être de garde la nuit chez un grand, veiller près du feu dans le kraal d'un prince.",P312-C2,n.
11180,5,5,"ipfungiza, ama-, 5, 9il6, (cfr -pfungiz-), abcès. Syn. igibhúte.",P321-C2,n.
11446,1a|2a,622,"murámukazanje, bāmúramukazanje, taj2a, (cfr -rámu la), terme de référence, ma belle-sœur (sœur du mari et femme du frère d'un locuteur féminin). V. parenté, p. 620, 622, 624.",P333-C1,n.
11447,1a|2a,622,"murámukazāwe, bāamúramukazāwe, llal2a, (cfr -rámu la), terme de référence, ta belle-sœur (a une personne de sexe féminin). V. parenté, p. 620, 622, 624.",P333-C1,n.
11456,15a,15a (préf. 9),"Ndamukiza, 15a (préf. 9), (cfr -ramukiz-), lune de mars-avril, ainsi appelée parce que la pluie tombait parfois en cette saison de grand matin. Syn. Kabozá, Gacâbiraro.",P333-C2,n.
11465,2a,2a,"murámuwé, la, bāmúramûwe, 2a, (cfr -rámu la), terme de référence, son beau-frère; mari de la sæur d'une femme ou d'un homme; mari de la fille du frère du père, femme du fils de la 333 sœur du père, etc. V. parenté, p. 619-624. Prov. 308.",P333-C2,n.
11524,3|4,3j4,"umurăngara, imi-, 3j4, (cfr -rangār-), tjs  C, objet vide au travers duquel on peut voir. Syn. ikirăngararé, umuroha. Mpēreza uwo murăngara w'ikibíriti, passe-noi ce couvercle de boîte d'allumettes. umurăngara, imi-, Croton macrostachyus La décoction est administrée en lavement aux enfants. Genda unshiíre umurăngara, va me chercher des feuilles de Croton. ikirángara, ibi-, (cfr -răngara 9 et -rângagur-), cadavre (mis en pièces). V. umupfú. indăngara, 9J10, (cfr -răngara 7), bête estimée bonne à être abattue, tête de bétail destinée à être dépecée et mangée. N'îizó bănyaga umwămi yaráheza bcěnezó, mugábo bázikūyėmwo ibimása vy'imbăgwa z'indăngara, et ce bétail qwon enlevait, le roi, dans la suite, le remettait aux propriétaires, mais après qu'on eut prélevé les taurillons destinés à être abattus et partagés. o uburăngara, 14, (cfr -rangār-), éparpillement; dissipation. Syn. isâbisâbi. kurangārana, -nye, (cfr -rangaār-), être distraits ensemble. || Porter distraitement qach. umurângāré, imi-, 34, (cfr -rangār-), lieu découvert. Uwo mûùsi amashŭle băyatāye umurângāré, ce jour-là ils ont quitté les classes en laissant les portes ouvertes. ikirângāré, ibi- 7l8, (cfr -rangār-), dissipé, distrait. Syn. igisámāré. kurângarira, -ye, (cfr -rângar-), applic., être sec, desséché. Syn. gusáragara. Mourir de soif. 336",P336-C1,n.
11581,6,6,"amarârá, 6, (cfr -râr-), l'heure du coucher (vers 20 heures). Abarăra, 2, bonne famille hutu.",P338-C1,n.
11883,7|8,14,"ikirêngero, ibi- 718, (cfr -rêngero 5), ouverture dans un enclos. Syn. icanzo. uburêngero, 14, (cfr -rênger-), occident, ouest. Igihúgu có mu burêngero, un pays occidental, Syn. ubumiínuko, inděngāne. Uburêngero bw’îzûba, le couchant. kurêngerwa, -gewe, (cfr -rênger-), être recouvert par. Ngo murābé yâ nága yamaze kurêngerwa, voyez donc cette marmite qui déborde. || En parallèle avec une construction négative, permet d'exprimer une forte affirmation. Fig. Ntarengá irêmbo irêngewe, c'est un gourmand. kurêngesēra, -reye, (cfr -rêngek-), applic., faire passer par-dessus. j) Rester froid, indifférent devant qqn ou qqch., regarder qgan comme s'il était transparent. Syn. kwîrengagiza. kwîrengesēra, -reye, (cfr -rêngesēr-), être obséquieux, tââcher d’amadouer, tenter de gagner les faveurs de qqn. Syn. kwîsengereza. uburêngěti, v. -lêngěti. kurêngeza, -je, (cfr -rênger-), provoquer le dépassement. N’àkarêngeje, le premier, celui qui dépasse les autres, linégalé. có mumwămi, niwé arengéje abăndi, il va de soi gue le roi nest pas une base de comparaison, car lui surpasse tout le monde. Kurêngeza ijwí, résonner.",P350-C2,
12092,7,7,"Ikirimiro, 7, (cfr -rimir-), région naturelle du Burundi. V. carte annexée au volume.",P358-C2,n.
12173,7,7,"ikinyámuriri, 7, (cfr -riri 3), grondement qui précède ou accompagne un tremblement de terre. .",P362-C2,n.
12208,2,2,"Abarishi, 2, (cfr -rih-), très bonne famille hutu.",P363-C2,n.
12572,1a,620,"murúmunanje, la, (cfr -rúmuna la), mon frère puîné (locuteur masculin). Ma sœur puînée (locuteur féminin). V. parenté, p. 619, 620.",P375-C2,n.
12573,1a|2a,620,"murúmunáwe, barúmunáwe, lal2a, (cfr -rúmuna la), son cadet, sa cadette, sa puînée personne de sexe féminin). Barúmunawe băma bágira umwîkomo ngo wêwé yāronse umugenzi, ses jeunes sœurs en éprouvèrent du dépit en disant: celle-là a trouvé un mari. V. parenté, p. 619, 620.",P375-C2,n.
13116,2,2,"Abâmbaramísănga, 2, (-âmbar- porter une parure, -sănga 4), mauvaise famille hima.",P395-C1,n.
13338,9|10,362,"isāzi, mouche. Var. insāzi 910. Gusámira isāzi ku munwa, ku mênyo, bâiller de faim. « Isāzi ifáshwe n'’îhwá iti nzé biramé ntangâre, une mouche accrochée par une épine s'exclama : je serai bien étonnée en cas de succès!» Le malchanceux est habitué aux coups du sort et ne s'attend pas à réussir. Inábunzīyá nk’ubutárihó, (devinette), celle qui crie toujours qu'il y en a trop peu comme s'il ny en avait pas; ubunwa bw'’isāzi, la trompe de la mouche qui suce inlassablement. Prov. 105, 362, 1017, 14111414, 1471, 1507, 1565, 1770, 1879, 2166, 2933, 3379, 3423, 3761.",P402-C1,n.
13603,7|8,2294,"igisêru, ibi- 78, (cfr -seruk-), pituite, morve, roupie. Syn. ikimyira. Prov. 1890, 2294, 2677, 3197.",P410-C1,n.
13721,3|4,1mi-,"umushanana, 1mi-, 3|4, (cfr -shananik-), étoffe légère portée par dessus toutes les autres.",P414-C1,n.
13942,1a|2a,621,"mushíkanje, bashíkibanje, lal|2a, (cfr -shíki 1a), ma sœur (locuteur masculin). La fille du frère de mon père, de la sæur de ma mère. V. parenté, p. 619, 621.",P420-C2,N
13947,1a|2a,621,"mushíkāwe, bashíkāwe, llal2a, (cfr -shíki 1a), SŒÆUr d'un individu de sexe masculin. Nkubaríre jyó bashíkāwe băroye?, dois-je te dire où sont tes sæurs ? V. parenté, p. 619, 621.",P421-C1,n.
13977,1a|2a,621,"mushíkiwe, ba-, lal2a, (cfr -shíki la), la sœur aînée dun individu de sexe masculin. Prov. 3680. V. parenté, p. 619, 621.",P421-C2,n.
14147,7|8,1gishishi,"1gishishi, ibi-, 718, (poét.), penne.",P427-C1,n.
14368,5|6,5j6,"ishusho, ama-, 5j6, (cfr -shusb-), apparence, aspect, image. Statue. Aussi cl. 9i. Ishusho ry umutagatifu, la statue dď'un saint.",P434-C1,n.
14370,9i|10i,9i)10i,"ishusho, 9i)10i, (cfr -shush-), dessin, image, figure, portrait. Var. cl. 5. Ishusho y'umuntu, la reproduction photographique d'un individu.",P434-C1,n.
14440,7|8,718,"igishwigiri, ibi-, 718, touffe d'herbe. Ibishwigiri vyimishatsi, une chevelure hirsute. Syn. ibishwirima. Prov. 3417. ama-, 9|l6, pique-bæuf : pique-bbæuf à bec rouge. Buphagus africanus LINNÉ.",P435-C2,n.
14442,7|8,718,"igishwira, ibi-, 718, (cfr -shwîragir-), chevelure touffue. Syn. ibishwírima. N’ìgishwira, il est hirsute.",P435-C2,n.
14718,1a|2a,966,"só, bāsó, lal2a, ton père, votre père. Ivyó ugiríra só, ce que tu fais à ton père. Kăndi níwe yabânje kwîca só wāwe, en outre, c'est lui, d'abord, qui a tué ton père. Ayavûye mu zā só, le lait produit par les vaches de ton père. V. sé, dātá, só-wânyu. Prov. 849, 966, 1505, 1650, 2607. Cfr. parenté, p. 616.",P443-C2,n.
14816,9i|6,5,"isko, ama-, 5, 9il6, (arabe, souk), marché., Syn. akaguriro. Isoko yinká, le marché au bétail.",P446-C1,n.
14999,3l4,634,"umusoso, imi- 344, morceau de viande tiré du cuissot. Syn. umunofo. Inyama níni yumusoso, un gros morceau de viande de qualité. Prov. 160, 634.",P450-C2,n.
15072,9i|6,5,"isùgi, ama-, 5, 9ij6, (cfr -súgik-), pur; vache qui wa pas perdu. de veau. Par ext. tout animal, toute personne et même tout objet qui n’a pas été contaminé par la mort. Umuganuro w’isùgi, la fête des prémices. Inká y'isùgi, une vache que Pon trait pendant qw'elle flaire son veau. — Dès qw'elle avait perdu son veau, une vache royale était irrémédiablement écartée du troupeau des inyambo. Isùûgi yimpėne, un bouquetin. On trouve aussi isûgi ry'impene. || Indemne. Génisse non encore montée. || Fille encore vierge. TROUWBORST 144. Ant. isûri.",P453-C1,n.
15191,3|4,56,"umusŭňna, imi- 34, Arundinaria alpina K. ScuumM., bambou plein. Var. umusŭùŭno, umusnu. V. umugano. Nîshimikije umusŭna, je mappuie sur un bambou. Prov. 113. M.R.A.C. 42.032. ama-, 56, 9ill0i, isŭna ry'ikigôri, enveloppe du maïs. Syn. igikôhwá. || Fièvre aphteuse. Kurwâra isŭna, être atteint de cette maladie.",P456-C2,n.
15618,6,6,"amakorokàntambara, 6, (-korok- tomber d'en haut, -tambara 9), bataille imprévue; guet-apens.",P468-C2,
15873,,14),"rutáre, la (préf. ru), (cfr -táre 11, 14), surnom dun individu solide. 476",P476-C1,n.
15901,,521,"urutaro, in-, (cfr -táruk-), van, crible. Syn. urugósōzo. Intaro bazikorēsha mu kugósōra nó mu gusora, on se sert des vans pour vanner et pour trier le grain. Urutaro rw’ïmisùri, vyan fait de Smilax kraussiana MEISN. et dont se sert le devin pour pratiquer ses consultations : il y jette les graines de courges et déduit de leurs positions le sort de son consultant. Kurimira ku rutaro, travailler en vain. Prov. 353, 521, 785, 1954, 1987, 2270.",P477-C1,n.
15997,7|8,78,"ikimárabúte, 78, (-mar- finir, -té 14 inactivité), occupation, passe-temps, distraction.",P479-C2,n.
16396,7|8,634. TROUWBORST 163.,"igitigu, ibi- 718, foie. Igitigu c'înyána, du foie de veau. — Les jeunes enfants ne pouvaient pas manger de foie: ils perdraient leurs dents, disait-on (v. -îtigur-). Prov., 634. TROUWBORST 163.",P493-C1,n.
16629,6,6,"amaziràntoke, 6, (-zir- être hostile, opposé à, -toke 9|10 doigts), « qui ne peut pas entrer en contact avec les doigts», exeréments, fiente, ordure. Syn. amavyí.",P499-C1,n
16812,5,5,"itto, 5, (cfr -tôtōr-), substantif multiclasse, verdure. Iraryâna itongo itěto, elle est grasse car elle mange et lherbe et les jeunes pousses. Irishanya itongo elle broute un domaine cultivé et devient grasse. ibi-, 7|8, (cfr 5), jeune pousse (maïs, manioc). Gitòto, de couleur verte, vert tendre. Ikibabi gitcto, le feuillage vert. Ivyătsi bitōto, de l'herbe verte. 11a, (cfr 7), sans augment, vert. Urwătsi rutcto, herbe verte.",P504-C2,n.
16849,7|8,1bi-,"igitsí, 1bi-, 7i8, (cfr -tsí 3), tendon ddd'Achille. V. igitsîntsiri. Kudákūrá igitsí, marcher lentement.",P505-C2,n.
16912,2,2,"Abatsinga, 2, (descendants de Mutsinga), bonne famille tutsi. || Bonne famille twa. urutsinga, in-, (sw.), fil de métal. Intsínga ziríkw ibihânda, ronces artificielles, fils de fer barbelés. intsíingu, 9|10, muscle du cou. Intsingu y'izosi, le muscle de la nuque. intsíngutsîingu, 10, (cfr -tsingu 9), muscles de la nuque, bien marqués, solides, épais, cou de taureau (fig.). Se dit généralement d'une personne obèse. igitsîntsiri, ibi-, 7(8, (cfr -tsí 7), talon. umutsînzi, aba-, 12, (cfr -tsînd-), gagnant (d'un procès), vainqueur, triomphateur, victorieux. intsînzi, 9, (cfr -tsînd-), victoire, triomphe. Intsînzi irabûrwa, on annonça la victoire. mutsiri, (poét.), en forme figée (cfr -tsiritsiri), noir. Ndamubāgiye ingumba arânka ngw agomba mutsiri wă je dépèce en son honneur une vache stérile et il refuse en disant qu'il veut une femelle de buffle noire.",P506-C2,n.
17189,9a|10a,9all0a,"nyamaturi, 9all0a, (cfr -nyabuturi 7), insecte non identiĥé. imi-, 34, (cfr -túrik-), morceau. Syn. ikimănyu. Part reçue ou à recevoir; partage.",P515-C2,n.
17245,7|8,718,"igitútsi, ibi-, 718, (cfr -túk-), injure, outrage, insulte, sottise, insolence, pamphlet, offense. Prov. 717, 2506.",P517-C1,n.
17259,,14),"gututura, -ye, (cfr -tūta 9, 14), frapper. Yāmutūtuye igipfûnsi, il lui a donné un coup de poing.",P517-C2,v.
17436,,2914,"umwuga, imy-, métier, art, profession, état, spécialité. Syn. ibannnga. Umwuga w'ubucúzi, ou umwuga wubutáre, le métier de forgeron. Ibirago binini, hamwé mu Buyěnzi, bijîshwa n’Abatwá, mu Bwêru bijishwa n'abagabo b’Abarûndi bafisé uwo mwuga, les grandes nattes, comme ici, par exemple, dans la région du Buyenzi, sont tressées par les Pygmoïides, dans la région du Bweru, elles sont tressées par les hommes (autres que les Twa) dont c’est le métier. Prov. 1813, 2914.",P525-C1,n.
17853,7|8,1bi-,"ikivomēsho, 1bi-, 7|8, (cfr -vomësh-), récipient qui sert à puiser; seau. Syn. idébe, imbegeti, indóbo, ihando. ikivomezo, ibi-, 7|8, (cfr -vōmer-), arrosoir.",P536-C2,n.
17868,5,5,"ivú, 5, terre; poussière. Haāagupfá wōcumba ivú, (loc. prov.), Pavilissement, la misère valent mieux que la mort; tant qu'il y a de la vie, il y a de espoir. Expr. Aka kâna ntíkabeshá kangana ivú, ce gamin est un fieffé menteur. Gitēye ivú, vil, méprisable. Gucá ivú, pulvériser. Gucîka ivú, devenir poussière. Péj. Kurîsha ivú, tuer, Kuryá ivú, être enterré; être confus, honteux, rentrer sous terre. Prov. 73, 668, 1539, 2038, 2713, 3196, 3326, 3516.",P537-C1,n.
17970,2,2,"Abavuma, 2, famille de Tutsi.",P541-C1,n.
17981,2,2,"Abavămbagu, 2, (cfr -vumba 11), mauvaise famille hutu. Cette famille fournissait à la cour le personnel chargé de entretien et la propreté des kraals royaux.",P541-C1,n.
17983,2,2,"Abavămbi, 2, famille de Tutsi.",P541-C1,n.
17988,,2414,"kuvumbika, -tse, (cfr -vumba 11), conserver le feu la nuit, couvrir le feu. Faire couver sous la cendre. Umuguruka wó kuvumbika, du son pour garder le feu bas. || Se chauffer près du feu. || Cuire sous la cendre. Prov. 62, 2414.",P541-C2,v.
18000,,3304,"kuvûmbura, -ye, (cfr -vumba 11), faire voler la poussière: rafler, emporter violemment. || Changer la litière; enlever lherbe du lit. || Lever le gibier. Prov. 2906, 3304.",P541-C2,v.
18460,5,5,"iyengo, 5, (cfr -yêng- et -eng-), emplacement où ron brasse. | Endroit où Pon prépare le sel végétal. On brûle des herbes à potasse dont les cendres sont ensuite jetées dans leau. Après avoir reposé cette eau est décantée et donne un sel de qualité très inférieure. V. -shanga 3, -rago 3, -ûnyu 3.",P558-C1,n.
18544,2,2,"Abayobeka, 2, famille hutu.",P560-C1,n.
18588,1|2,12,"umurímànzogera, aba-, 12, (rim-: cultiver, -vogera 9|10), assistant du devin chargé de détruire les vénéfices amahěmbe q.v.",P561-C2,n.
18875,1|2,3489-3490.,"umunyárūzi, aba- 1)2, (cfr -zi 11), riverain; gens habitués à la rivière. Prov. 1699, 3489-3490.",P572-C1,n.
18883,7|8,718,"ikitâzí, ibi, 718, (cfr -zi-), inintelligent, ignorant. Syn. ikidávyi. || Innocent, candide, qui nwa pas encore lâge de raison. Syn. igifátànzóka.",P572-C2,n.
19049,7|8,1bi-,"ikizímba, 1bi-, 718, tronc, base. Ihcmbe ryā yâ nká yāwe ryavunikiye mu kizímba, la corne de ta fameuse vache est cassée à la base.",P577-C1,n.
19108,,1653,"kuzinduka, -tse, (cfr -zíndu 9), avoir lieu le matin; être matinal, sortir tôt, partir de bon matin. Azinduka mu gitôndo, il sortit de grand matin. Urazinduka kare, ftu devras être très matinal. Imvúra yazindutse igwa, la pluie est tombée dès ce matin. Uyu músi nazindutse ndwâye, je me suis trouvé mal ce matin. || En complexe verbal, ce verbe régit cina modes : l'indicatif, le conjonctif, l'infinitif, le subjonctif et le subsécutif. Il exprime diverses nuances circonstancielles, telles que: matinal, (faire) le matin, de bon matin, tôt dans la . matinée. Twazïndutse dúkora, nous avons travaillé de grand matin. Bāzindutse bátanga inkòko, ils se sont levés avant le chant du coq. Ejó sínzōzînduka nkóra (ou ndakóra), demain matin je ne travaillerai pas. Abarímira impěshi barazinduka gukóra, ceux qui préparent les champs pour les cultures de la saison sèche vont travailler de bonne heure. Ni bazindúke batāhé, qwils rentrent chez eux dès le point du jour. Abarí umwěcte barazinduka bakîga, les plus zélés se levaient de bonne heure et étudiaient. Prov. 391, 1653, 2314, 2655, 3300, 3509. Ant. kugóróbeza.",P579-C1,
19179,7|8,809,"ikizinu, ibi- 718, champignon, cèpe, bolet. Inzu yanje ní mutûrírwa, (énigme), ma maison est celle sur laquelle on ne grimpe pas; ikizinu, un champignon. Prov. 774, 809, 3745.",P581-C1,n.
19252,7,7,"ikimaramuziro, 7, (-mar- enlever, -ziro 3 interdit), petite quantité, presque insignifiante. Ampāye ikimaramuziro, f'ai reçu deux fois rien. — Avant de toucher le bébé de sa sœur, lindividu de sexe masculin doit donner un petit cadeau à la mère de sous peine d'être frappé de tremblement. V. -îshwa 1.",P583-C2,n.
19322,7,7,"ikirêngazûôba, 7, (-rêng- dépasser, -zûba 5 soleil), déclin du soleil. Ku kirêngazûba, au coucher du soleil.",P586-C1,n.
19323,14,14,"uburêngerazûba, 14, (-rênger- applic., dépasser Phorizon, -zûba 5 soleil), ouest. V. -rârūko 14, -manuko 14, -séruko 14.",P586-C1,n.
